idno,name,year,duration_weeks,country,cadre,training_name
01CG047400,Dr. Rohit Yadav,2013,2,SINGAPORE                                         ,Chhatisgarh,Water Leadership Programme                                                                          
01CG047411,Shri Alok Awasthi,2011,2,FRANCE                                            ,Chhatisgarh,"Decentralisation in Local Governance Health, Forest Management                                      "
01CG047800,Shri Amit Kataria,2013,1,CHINA                                             ,Chhatisgarh,Power of Urban Growth                                                                               
01CG048600,Shri Rajesh Sukumar Toppo,2010,1,FRANCE                                            ,Chhatisgarh,Mgmt of PPP in the Urban Water                                                                      
01CG048700,Shri Om Prakash Choudhary,2012,1,NEW ZEALAND                                       ,Chhatisgarh,European Commissin State Sajhedhaari Programme                                                      
01CG049300,Shri Alex V F Paul Menon V,2013,1,CHINA                                             ,Chhatisgarh,Power of Urban Growth                                                                               
01CG806005,Shri Ram Singh Thakur,2009,6,                                                  ,Chhatisgarh,Mid Career Trg Phase III                                                                            
01CG806005,Shri Ram Singh Thakur,2010,2,USA                                               ,Chhatisgarh,Phase III Mid Career Training                                                                       
01GJ020700,Shri Rajiv Takru,1991,52,NA/OTHERS                                         ,Gujarat,MPM                                                                                                 
01GJ020900,Ms. Gauri Kumar,1993,52,USA                                               ,Gujarat,U/HARVARD MASON PROG                                                                                
01GJ021100,Shri Rajesh Kishore,1995,52,UNITED KINGDOM                                    ,Gujarat,COL PLAN MSC(ECO)                                                                                   
01GJ021200,Shri Hara Krushna Dash,1995,26,UNITED KINGDOM                                    ,Gujarat,"MBA,HULL,UK                                                                                         "
01GJ021600,Ms. Vijay Laxmi Joshi,1993,52,UNITED KINGDOM                                    ,Gujarat,INST OF DEV ADM & MGT                                                                               
01GJ021800,Shri Pradeep Kumar Pujari,1997,52,UNITED KINGDOM                                    ,Gujarat,LONDON SCHOOL OF ECONO                                                                              
01GJ021900,Ms. Rita A Teaotia,1988,4,                                                  ,Gujarat,Jr Level 4 weeks                                                                                    
01GJ021900,Ms. Rita A Teaotia,1995,1,                                                  ,Gujarat,Mgmt of Enviornment                                                                                 
01GJ021900,Ms. Rita A Teaotia,2003,12,USA                                               ,Gujarat,Short  Term Training                                                                                
01GJ021900,Ms. Rita A Teaotia,2009,2,AUSTRALIA                                         ,Gujarat,"Pub. Health Sector reforms, Mgt. & evaluation Progm.                                                "
01GJ022200,Dr. Hasmukh Adhia,2012,2,                                                  ,Gujarat,15 daysForeign Training                                                                             
01GJ022400,Shri Ganga Ram Aloria,2008,3,UNITED KINGDOM                                    ,Gujarat,Short Terms Training                                                                                
01GJ022400,Shri Ganga Ram Aloria,2004,2,USA                                               ,Gujarat,Short Term Training                                                                                 
01GJ022500,Dr. Amarjit Singh,1994,52,UNITED KINGDOM                                    ,Gujarat,MACRO ECO POLICY PLG                                                                                
01GJ022501,Shri Tapan Ray,2005,39,USA                                               ,Gujarat,MA.in Public Admn                                                                                   
01GJ023000,Shri Ashim Khurana,1994,2,PHILIPPINES                                       ,Gujarat,"SEMINAR,M.ORGTL.CHANGE                                                                              "
01GJ023200,Shri Jagdip Narayan Singh,2002,52,PHILIPPINES                                       ,Gujarat,MDM Programme                                                                                       
01GJ023300,Shri O Ravi,2001,56,AUSTRALIA                                         ,Gujarat,MBA PROG.IN AUSTRALIA                                                                               
01GJ023400,Shri Prem Kumar Taneja,2004,10,JAPAN                                             ,Gujarat,SYNTHETIC BUS.MGT                                                                                   
01GJ023500,Shri Mahavir Singh Dagur,2001,52,UNITED KINGDOM                                    ,Gujarat,U/BIRMINGHAM MBA PUBSC                                                                              
01GJ023500,Shri Mahavir Singh Dagur,2008,2,USA                                               ,Gujarat,Mgt.Dev.Seminar                                                                                     
01GJ023600,Shri Arvind Agrawal,2008,3,USA                                               ,Gujarat,Budgeting & Fincl Mgt in Public Sector                                                              
01GJ023600,Shri Arvind Agrawal,2013,1,USA                                               ,Gujarat,Innovation in Economic Dev                                                                          
01GJ024100,Shri Atanu Chakraborty,1998,32,UNITED KINGDOM                                    ,Gujarat,U/HULL-MBA                                                                                          
01GJ024200,Shri Anand Mohan Tiwari,2004,52,SLOVENIA                                          ,Gujarat,MBA Course                                                                                          
01GJ024200,Shri Anand Mohan Tiwari,1996,6,JAPAN                                             ,Gujarat,NATIONAL GOVT AD JAPAN                                                                              
01GJ024300,Shri Dina Nath Pandey,2005,3,USA                                               ,Gujarat,Short Term Training                                                                                 
01GJ024400,Shri Prem Kumar Gera,1997,52,UNITED KINGDOM                                    ,Gujarat,U/BIRMINGHM PUB ECO MG                                                                              
01GJ024400,Shri Prem Kumar Gera,2005,3,AUSTRALIA                                         ,Gujarat,Short Term Training                                                                                 
01GJ024600,Shri P. K. Parmar,2007,3,AUSTRALIA                                         ,Gujarat,Short Term Training                                                                                 
01GJ024600,Shri P. K. Parmar,1997,48,SLOVENIA                                          ,Gujarat,UNDP MBA PROGRAMME                                                                                  
01GJ024600,Shri P. K. Parmar,2002,6,JAPAN                                             ,Gujarat,SEMINAR ON FISHING DEV                                                                              
01GJ024700,Shri Girish Chandra Murmu,2003,52,UNITED KINGDOM                                    ,Gujarat,MBA Course                                                                                          
01GJ024900,Shri Vipul Mittra,2003,52,UNITED KINGDOM                                    ,Gujarat,LAW IN H.R                                                                                          
01GJ025000,Dr. Rajiv Kumar Gupta,1997,3,THAILAND                                          ,Gujarat,Urban Disaster Mitigation                                                                           
01GJ025000,Dr. Rajiv Kumar Gupta,2000,1,USA                                               ,Gujarat,Programme for the Training of Trainers on Negotiation and Consensus Building for the Group of 77    
01GJ025000,Dr. Rajiv Kumar Gupta,2001,3,NETHERLANDS                                       ,Gujarat,Water Resources and International Law                                                               
01GJ025200,Ms. Sangeeta Singh,1992,6,THAILAND                                          ,Gujarat,DISASTER MANAGEMENT                                                                                 
01GJ025200,Ms. Sangeeta Singh,2004,39,FRANCE                                            ,Gujarat,ENA                                                                                                 
01GJ025300,Dr. Guruprasad Mohapatra,2004,52,SLOVENIA                                          ,Gujarat,MBA Course                                                                                          
01GJ025400,Shri Pankaj Kumar,2009,2,AUSTRALIA                                         ,Gujarat,Successful Evaluation & Mgt   of public sector projects                                             
01GJ025400,Shri Pankaj Kumar,2003,52,SLOVENIA                                          ,Gujarat,MBA INTNL                                                                                           
01GJ025500,Shri P D Vaghela,2004,52,NETHERLANDS                                       ,Gujarat,M.A.(Public Policy Mgmt.)                                                                           
01GJ025700,Shri Sanjay Prasad,2005,44,FRANCE                                            ,Gujarat,ECOLE NATIONALE ADMN                                                                                
01GJ025800,Shri Rameshwar Prasad Gupta,2005,3,USA                                               ,Gujarat,Short Term Trg                                                                                      
01GJ025900,Shri Raj Kumar,2003,52,JAPAN                                             ,Gujarat,YOUNG LEADERS PROGRAME                                                                              
01GJ026000,Shri Raj Gopal,2002,52,UNITED KINGDOM                                    ,Gujarat,Domestic Funding of Foreign Trg.                                                                    
01GJ026200,Shri Lalnunmawia Chaungo,2007,2,USA                                               ,Gujarat,Leadership Potential Seminar                                                                        
01GJ026300,Shri Anuradha Mall,1996,3,                                                  ,Gujarat,Junior Level 1987-90 Batches                                                                        
01GJ026300,Shri Anuradha Mall,2001,2,                                                  ,Gujarat,Mddle Level - 1985-91                                                                               
01GJ026300,Shri Anuradha Mall,2003,1,                                                  ,Gujarat,E-Governance & Mngmt.of IT                                                                          
01GJ026300,Shri Anuradha Mall,2005,1,                                                  ,Gujarat,E-Governance of its Benefits                                                                        
01GJ026300,Shri Anuradha Mall,2006,1,                                                  ,Gujarat,Administrative Law                                                                                  
01GJ026300,Shri Anuradha Mall,2009,1,                                                  ,Gujarat,Changing Agricultural & RuralDev                                                                    
01GJ026301,Ms. S Aparna,2000,56,AUSTRALIA                                         ,Gujarat,MBA COURSE IN AUSTRALA                                                                              
01GJ026500,Shri Mukesh Puri,2004,2,                                                  ,Gujarat,Incident Command System                                                                             
01GJ026500,Shri Mukesh Puri,2004,1,                                                  ,Gujarat,Direct Trainer Skills                                                                               
01GJ026500,Shri Mukesh Puri,2003,16,USA                                               ,Gujarat,U/TEXAS FACULTY DEV PG                                                                              
01GJ026500,Shri Mukesh Puri,2008,2,NA/OTHERS                                         ,Gujarat,UNICEF Emergency Preparedness                                                                       
01GJ026500,Shri Mukesh Puri,1999,99,JAPAN                                             ,Gujarat,U/TSUKUBA INTNL POL ECONOMICS                                                                       
01GJ026700,Shri Arvind Kumar Sharma,1998,2,USA                                               ,Gujarat,STRUCTURING TARRIFF                                                                                 
01GJ026700,Shri Arvind Kumar Sharma,2005,52,AUSTRALIA                                         ,Gujarat,Master of Public Policy                                                                             
01GJ026800,Shri Bidyut Bihari Swain,2004,52,NETHERLANDS                                       ,Gujarat,M.A.(Pubic Policy & Mgmt.)                                                                          
01GJ026900,Ms. Anita Karwal,2001,1,                                                  ,Gujarat,Governance in Millennium for IAS                                                                    
01GJ026900,Ms. Anita Karwal,2004,1,                                                  ,Gujarat,Incident Command System                                                                             
01GJ026900,Ms. Anita Karwal,2005,1,                                                  ,Gujarat,Capacity Building on Citizen Centre                                                                 
01GJ026900,Ms. Anita Karwal,2006,2,UNITED KINGDOM                                    ,Gujarat,Short Term Training                                                                                 
01GJ027100,Shri Amrendra Kumar Rakesh,2006,2,NETHERLANDS                                       ,Gujarat,Short Term Training                                                                                 
01GJ027300,Ms. Sunaina Tomar,2003,8,JAPAN                                             ,Gujarat,"GTC,POLICY&PROGM.COMMN                                                                              "
01GJ027700,Shri Kamal Kumar Dayani,2008,2,UNITED KINGDOM                                    ,Gujarat,Risk Management                                                                                     
01GJ027700,Shri Kamal Kumar Dayani,2005,2,USA                                               ,Gujarat,Short Term Training                                                                                 
01GJ027800,Shri Chandra Vanu Som,2007,10,NETHERLANDS                                       ,Gujarat,Short Training Programme                                                                            
01GJ027900,Shri Arunkumar Solanki,2004,3,THAILAND                                          ,Gujarat,Short Term Training                                                                                 
01GJ028000,Dr. V Thiruppugazh,2001,2,PHILIPPINES                                       ,Gujarat,URBAN FLOOD MIT.MANILA                                                                              
01GJ028100,Ms. Jayanti Srinivasan Ravi,2009,4,                                                  ,Gujarat,Mandatory Training IAS Phase  IV                                                                    
01GJ028100,Ms. Jayanti Srinivasan Ravi,2010,2,                                                  ,Gujarat,Mandatory Training IAS Phase IV                                                                     
01GJ028100,Ms. Jayanti Srinivasan Ravi,2004,22,UNITED KINGDOM                                    ,Gujarat,The Chevening/Gurukul Sch.                                                                          
01GJ028100,Ms. Jayanti Srinivasan Ravi,2006,52,USA                                               ,Gujarat,Mason Prog. Partial Funding Scheme                                                                  
01GJ028100,Ms. Jayanti Srinivasan Ravi,2010,2,KOREA                                             ,Gujarat,Exposure Visit (IAS Phase IV)                                                                       
01GJ028200,Ms. Anju Sharma,2005,2,USA                                               ,Gujarat,Short term Training                                                                                 
01GJ028200,Ms. Anju Sharma,2005,2,USA                                               ,Gujarat,Short term Trg.                                                                                     
01GJ028200,Ms. Anju Sharma,2005,2,USA                                               ,Gujarat,Post Privatization Managing the Challenge                                                           
01GJ028200,Ms. Anju Sharma,2008,52,USA                                               ,Gujarat,MA in Intnl.Dev.Policy                                                                              
01GJ028200,Ms. Anju Sharma,2009,10,USA                                               ,Gujarat,Project Appraisal & Risk Mgmt                                                                       
01GJ028412,Shri Bhagyesh Vasudev Jha,1986,12,UNITED KINGDOM                                    ,Gujarat,TRAINING FOR TRAINERS                                                                               
01GJ028412,Shri Bhagyesh Vasudev Jha,1991,20,USA                                               ,Gujarat,"IMDP,SPL IN MARKETING                                                                               "
01GJ028700,Ms. Mona K.C. Khandar,2007,2,UNITED KINGDOM                                    ,Gujarat,Short Term Training                                                                                 
01GJ028700,Ms. Mona K.C. Khandar,2009,52,USA                                               ,Gujarat,MA in Pub.Administration                                                                            
01GJ029001,Shri Mukesh Kumar,2009,52,USA                                               ,Gujarat,MA in Public Administration                                                                         
01GJ029101,Shri Manish Bhardwaj,2007,2,UNITED KINGDOM                                    ,Gujarat,Leading Strategic Change                                                                            
01GJ029200,Ms. Sonal Mishra,2010,2,JAPAN                                             ,Gujarat,Young Leaders for India Urban Enviornment Management(JICA)                                          
01GJ029200,Ms. Sonal Mishra,2013,2,JAPAN                                             ,Gujarat,The Training Program on Industrial Tech Education Instt Management for India                        
01GJ029300,Shri Ashwini Kumar,2004,2,USA                                               ,Gujarat,ICS:Study tour at USA                                                                               
01GJ029520,Shri M A Narmawala,2008,2,THAILAND                                          ,Gujarat,Short Term Trg IT Appl.in Mgmt.                                                                     
01GJ029522,Shri P. P. Harshe,2010,1,                                                  ,Gujarat,Induction Trg.PHASE III                                                                             
01GJ029522,Shri P. P. Harshe,2010,1,                                                  ,Gujarat,DTS                                                                                                 
01GJ029811,Shri A. M. Mankad,2007,8,                                                  ,Gujarat,Foundation Course                                                                                   
01GJ029813,Shri V. P. Patel,2008,8,                                                  ,Gujarat,Induction Training                                                                                  
01GJ029821,Shri G R Chaudhari,2008,7,                                                  ,Gujarat,Indexan Training                                                                                    
01GJ030100,Shri M Thennarasan,2004,2,CHINA                                             ,Gujarat,MGT.NATURAL RESOURCES                                                                               
01GJ031101,Ms. Avantika Singh Aulakh,2013,1,                                                  ,Gujarat,Election Management:The Role of Technology                                                          
01GJ031101,Ms. Avantika Singh Aulakh,2007,6,CANADA                                            ,Gujarat,PPP Skills & Competency Dev                                                                         
01GJ031101,Ms. Avantika Singh Aulakh,2009,6,CANADA                                            ,Gujarat,Fundamentals of Regulations                                                                         
01GJ031101,Ms. Avantika Singh Aulakh,2009,6,CANADA                                            ,Gujarat,Determining Revenue Needs & S & Structuring Rates                                                   
01GJ031101,Ms. Avantika Singh Aulakh,2009,6,CANADA                                            ,Gujarat,Advanced Proj.Fin & Financial Modeling Tech.                                                        
01GJ031101,Ms. Avantika Singh Aulakh,2009,6,CANADA                                            ,Gujarat,Pub Awareness & Media Relations                                                                     
01GJ031101,Ms. Avantika Singh Aulakh,2010,3,CANADA                                            ,Gujarat,Proj. Officers Mgt Skills  Dev                                                                      
01GJ031400,Shri Rajender Kumar,2002,0,USA                                               ,Gujarat,Partial Funding of Foreign Study                                                                    
01HP007800,Dr. Sudripto Roy,1988,24,UNITED KINGDOM                                    ,Himachal Pradesh,Logistics Management                                                                                
01HP008600,Dr. Ravinder Kumar Jain,1996,52,SLOVENIA                                          ,Himachal Pradesh,"U/LJUBLJANA,MBA                                                                                     "
01HP008900,Shri Deepak Sanan,1999,12,UNITED KINGDOM                                    ,Himachal Pradesh,PUB MGT&POV REDUCTN UK                                                                              
01HP008900,Shri Deepak Sanan,2004,4,USA                                               ,Himachal Pradesh,CONSULTANCY(ST)WORLD B                                                                              
01HP008900,Shri Deepak Sanan,2004,7,USA                                               ,Himachal Pradesh,CONSULTANCY(ST)WORL BK                                                                              
01HP009000,Shri Ajay Mittal,1995,52,UNITED KINGDOM                                    ,Himachal Pradesh,U/EAST ANGALIA DEV STU                                                                              
01HP009101,Shri Vineet Chaudhary,2000,56,AUSTRALIA                                         ,Himachal Pradesh,"MBA,AUSTALIA                                                                                        "
01HP009200,Ms. Upma Chaudhary,2000,56,AUSTRALIA                                         ,Himachal Pradesh,MBA COURSE IN AUSTRALA                                                                              
01HP009200,Ms. Upma Chaudhary,1992,8,JAPAN                                             ,Himachal Pradesh,FOREIGN TOUR IYEPROG                                                                                
01HP009400,Dr. Asha Ram Sihag,2006,2,SINGAPORE                                         ,Himachal Pradesh,Fincl Programming & Policies                                                                        
01HP009600,Shri Vidya Chander Pharka,1998,52,AUSTRALIA                                         ,Himachal Pradesh,AUSAID MBA                                                                                          
01HP009601,Dr. Bharti S Sihag,2005,10,NETHERLANDS                                       ,Himachal Pradesh,Short Term Training                                                                                 
01HP009900,Shri Ajay Tyagi,1997,52,USA                                               ,Himachal Pradesh,U/HARWARD PUB.POL.MGT.                                                                              
01HP010000,Shri Narinder Chauhan,1997,52,KOREA                                             ,Himachal Pradesh,DFID DEVELOPMENT ADMN                                                                               
01HP010100,Shri Prem Chand Dhiman,1998,52,UNITED KINGDOM                                    ,Himachal Pradesh,LONDON SCHOOL OF ECON                                                                               
01HP010200,Shri Brij Kumar Aggarwal,2010,1,                                                  ,Himachal Pradesh,Advance Course on WTO & Related Matters                                                             
01HP010200,Shri Brij Kumar Aggarwal,2011,1,                                                  ,Himachal Pradesh,Management Dev Prog.on Proj  Appraisal&Mgmt                                                         
01HP010300,Shri Sanjeev Gupta,2007,2,USA                                               ,Himachal Pradesh,Short Term Training Programme                                                                       
01HP010400,Shri Shrikant Baldi,2007,2,                                                  ,Himachal Pradesh,Short Term Trg. Prog.                                                                               
01HP010500,Shri S. K. Bhim Sen Negi,1999,52,AUSTRALIA                                         ,Himachal Pradesh,U/WESTERN SIDNEY MBA                                                                                
01HP010501,Ms. Manisha Nanda,2005,52,SLOVENIA                                          ,Himachal Pradesh,MBA Course                                                                                          
01HP010501,Ms. Manisha Nanda,2000,4,BANGLADESH                                        ,Himachal Pradesh,STUDY TOUR-CUM-WORKSHP                                                                              
01HP010501,Ms. Manisha Nanda,1996,3,FRANCE                                            ,Himachal Pradesh,STUDY TOUR UNDER DPEP                                                                               
01HP010600,Shri Anil Kumar Khachi,1997,10,JAPAN                                             ,Himachal Pradesh,G.T.C. IN LOCAL GOVT.                                                                               
01HP010600,Shri Anil Kumar Khachi,2001,84,JAPAN                                             ,Himachal Pradesh,INTL DEV.STUDIES JAPAN                                                                              
01HP010900,Shri Tarun Kapoor,2008,2,UNITED KINGDOM                                    ,Himachal Pradesh,Leadership & Change  Mgnt.                                                                          
01HP011101,Ms. Nisha Singh,2003,2,UNITED KINGDOM                                    ,Himachal Pradesh,Short Term Training                                                                                 
01HP011101,Ms. Nisha Singh,2001,2,SINGAPORE                                         ,Himachal Pradesh,COL.PLAN INF.TECH PUBL                                                                              
01HP011400,Shri Ram Dass Dhiman,2002,52,UNITED KINGDOM                                    ,Himachal Pradesh,MA in GOVERNCE&DEVP                                                                                 
01HP012100,Shri Prabodh Saxena,2003,52,UNITED KINGDOM                                    ,Himachal Pradesh,Partial Funding Course At LSE                                                                       
01HP012100,Shri Prabodh Saxena,2007,2,USA                                               ,Himachal Pradesh,Executive Development                                                                               
01HP012100,Shri Prabodh Saxena,2006,4,JAPAN                                             ,Himachal Pradesh,Envionmental Impact Assessment for ODA Project                                                      
01HP012200,Shri Jagdish Chander,2004,52,UNITED KINGDOM                                    ,Himachal Pradesh,MBA Course                                                                                          
01HP012500,Ms. Anuradha Thakur,2002,2,                                                  ,Himachal Pradesh,Facilitatiion in Community Dev.                                                                     
01HP012500,Ms. Anuradha Thakur,2005,2,UNITED KINGDOM                                    ,Himachal Pradesh,"C G S on Globslisation,Leadership Mgmt                                                              "
01HP012500,Ms. Anuradha Thakur,2006,2,UNITED KINGDOM                                    ,Himachal Pradesh,Short Term Training                                                                                 
01HP012600,Shri Onkar Chand Sharma,2008,2,USA                                               ,Himachal Pradesh,Leadership Potential Seminar                                                                        
01HP012700,Shri Bharat Harbanslal Khera,2014,0,USA                                               ,Himachal Pradesh,E-Government Management & Leadership                                                                
01HP012700,Shri Bharat Harbanslal Khera,2014,0,USA                                               ,Himachal Pradesh,Leadership in International and Non-Governmental Organization                                       
01HP013000,Shri Maneesh Garg,2010,3,UNITED KINGDOM                                    ,Himachal Pradesh,Analysis & Mgmt.of Fincl Risk                                                                       
01HP013100,Dr. Subhashish Panda,2005,6,JAPAN                                             ,Himachal Pradesh,SEMINAR DISASTER MGT                                                                                
01HP013200,Shri Rajneesh,2004,4,JAPAN                                             ,Himachal Pradesh,S.W.ASIA YOUTH FRIENDSHIP PROG                                                                      
01HP013300,Shri Devesh Kumar,2006,3,JAPAN                                             ,Himachal Pradesh,Japan Southwest Asia Youth Friendship Programme                                                     
01HP014400,Shri Ritesh Chauhan,2014,1,SINGAPORE                                         ,Himachal Pradesh,Capacity building Programme Leaders in Urban Transport Planning                                     
01HP808005,Shri Dinesh Malhotra,2011,1,SINGAPORE                                         ,Himachal Pradesh,Challenges in Pub.Govt.& Admn                                                                       
01HY013400,Shri Sanjay Kothari,1991,52,UNITED KINGDOM                                    ,Haryana,U/HULL MBA                                                                                          
01HY013400,Shri Sanjay Kothari,2004,2,USA                                               ,Haryana,HARVARD UNIVERSITY                                                                                  
01HY013400,Shri Sanjay Kothari,1998,4,AUSTRALIA                                         ,Haryana,U/NEWCASTLE CHILD DEV                                                                               
01HY013600,Shri Ajit M Sharan,1996,52,UNITED KINGDOM                                    ,Haryana,U/WALES M.Sc.ECO.DEVE.                                                                              
01HY013600,Shri Ajit M Sharan,1991,2,JAPAN                                             ,Haryana,APO TOKYO  PRICE POL.                                                                               
01HY013600,Shri Ajit M Sharan,1993,1,JAPAN                                             ,Haryana,APO JAPAN TOP MGT.                                                                                  
01HY014200,Shri Ashok Lavasa,2004,2,USA                                               ,Haryana,U/CAMBRIDGE HARWARD                                                                                 
01HY014200,Shri Ashok Lavasa,2008,2,USA                                               ,Haryana,Environmental Policy Issues                                                                         
01HY014200,Shri Ashok Lavasa,1997,52,AUSTRALIA                                         ,Haryana,U/SOUTHERN CROSS MBA                                                                                
01HY014200,Shri Ashok Lavasa,1995,2,JAPAN                                             ,Haryana,JAPAN INTERN COOP AGEN                                                                              
01HY014700,Ms. Anuradha Gupta,2007,20,USA                                               ,Haryana,Short Term Training                                                                                 
01HY014700,Ms. Anuradha Gupta,1992,52,AUSTRALIA                                         ,Haryana,U/WOLLONGONG GRADUATE                                                                               
01HY015200,Dr. Krishan Kumar Jalan,1997,52,UNITED KINGDOM                                    ,Haryana,DIPLOMA/M.Sc.DEVE ADMN                                                                              
01HY015400,Dr. Dalip Singh,2005,2,USA                                               ,Haryana,Short Term Training                                                                                 
01HY015600,Ms. Keshni Anand Arora,2005,2,USA                                               ,Haryana,Best Practices in Regulating Telecomm.& IT Services                                                 
01HY015600,Ms. Keshni Anand Arora,1997,52,AUSTRALIA                                         ,Haryana,"MBA, AUSTRALIA                                                                                      "
01HY015600,Ms. Keshni Anand Arora,2002,1,CHINA                                             ,Haryana,SEMINAR IT LEG.MGT SYT                                                                              
01HY015700,Shri Ranjan Kumar Gupta,1994,52,AUSTRALIA                                         ,Haryana,PG DIP BUSINESS MANAGT                                                                              
01HY015800,Shri Yudhvir Singh Malik,1995,52,UNITED KINGDOM                                    ,Haryana,U/GLASGOW DEVLP. MGT.                                                                               
01HY016200,Ms. Navraj Sandhu,2001,57,AUSTRALIA                                         ,Haryana,MBA PROG.IN AUSTRALIA                                                                               
01HY016300,Shri Sudeep Singh Dhillon,2003,38,USA                                               ,Haryana,M.A PUB.ADN                                                                                         
01HY016400,Shri Roshan Lal,2004,3,UNITED KINGDOM                                    ,Haryana,Short Term Training                                                                                 
01HY016500,Shri Hardeep Kumar,2001,39,UNITED KINGDOM                                    ,Haryana,U/BIRMINGHAM MBA PUB                                                                                
01HY016500,Shri Hardeep Kumar,2007,2,USA                                               ,Haryana,Short Term Training Programme                                                                       
01HY016600,Dr. Shyam Sunder Prasad,2006,39,                                                  ,Haryana,APPA                                                                                                
01HY016701,Shri Sunil Kumar Gulati,2005,5,USA                                               ,Haryana,Public Policy Programme                                                                             
01HY016701,Shri Sunil Kumar Gulati,2010,10,NA/OTHERS                                         ,Haryana,Internship                                                                                          
01HY016701,Shri Sunil Kumar Gulati,1996,1,AUSTRALIA                                         ,Haryana,Development & Management of Training Programmes(                                                    
01HY016701,Shri Sunil Kumar Gulati,2010,28,GERMANY,Haryana,MGG(Managing Global Governance)                                                                     
01HY016800,Ms. Surina Rajan,1995,4,USA                                               ,Haryana,ENERGY ENVIRONMENT POL                                                                              
01HY016900,Dr. Ram Niwas,2006,1,                                                  ,Haryana,E-GOVN OPPOR & CHALLANGES                                                                           
01HY016900,Dr. Ram Niwas,2007,1,SWITZERLAND                                       ,Haryana,Study Mission to Nonmember                                                                          
01HY016900,Dr. Ram Niwas,1998,54,UNITED KINGDOM                                    ,Haryana,MBA UNIV OF HULL U.K.                                                                               
01HY016900,Dr. Ram Niwas,2004,3,USA                                               ,Haryana,BUDGETING REVENUE PLG.                                                                              
01HY016900,Dr. Ram Niwas,2006,1,KOREA                                             ,Haryana,MULTI COUNTRY STUDY MISSION  ON PUBLIC SETOR ENHANCEMENT                                            
01HY017000,Shri P Raghavendra Rao,2013,2,                                                  ,Haryana,International Certification Prog. in  Urban Management                                              
01HY017000,Shri P Raghavendra Rao,1999,52,UNITED KINGDOM                                    ,Haryana,U/BIRMINGHAM MBA                                                                                    
01HY017200,Dr. Krishan Kumar Khandelwal,2008,2,USA                                               ,Haryana,Management Dev. Seminar                                                                             
01HY017200,Dr. Krishan Kumar Khandelwal,2006,1,MALAYSIA                                          ,Haryana,ATTENDING APR WORKSHOP                                                                              
01HY017400,Shri Dhanpat Singh,2005,1,                                                  ,Haryana,NA                                                                                                  
01HY017400,Shri Dhanpat Singh,2008,1,                                                  ,Haryana,NA                                                                                                  
01HY017400,Shri Dhanpat Singh,1997,52,UNITED KINGDOM                                    ,Haryana,Project Based MBA from university of HULL                                                           
01HY017400,Shri Dhanpat Singh,1994,6,USA                                               ,Haryana,PROG. & PRO. ECT IMPL. FROM UNIVERSITY OF CONNECTICUT                                               
01HY017500,Shri Vijai Vardhan,1995,4,SINGAPORE                                         ,Haryana,MGT DEVE PROGRAMME ADM                                                                              
01HY017600,Ms. Rajni Sekhri Sibal,2011,2,AUSTRALIA                                         ,Haryana,Professional Dev. Programme                                                                         
01HY017900,Shri Alok Nigam,1997,3,UNITED KINGDOM                                    ,Haryana,MFT DEV PROF UNDP PROJ                                                                              
01HY017900,Shri Alok Nigam,2000,1,JAPAN                                             ,Haryana,AGRI.WHOLESALE MARKET                                                                               
01HY018000,Ms. Shashi Bala Gulati,2003,52,UNITED KINGDOM                                    ,Haryana,M.A in Governance & Dev                                                                             
01HY018100,Dr. Roop Ram Jowel,2002,52,UNITED KINGDOM                                    ,Haryana,M.B A                                                                                               
01HY018201,Ms. Dheera Khandelwal,2000,6,THAILAND                                          ,Haryana,UDISHA CHILD DEV.SERVI                                                                              
01HY018201,Ms. Dheera Khandelwal,1999,4,BANGLADESH                                        ,Haryana,MICRO FIN WOMEN'S GP                                                                                
01HY018201,Ms. Dheera Khandelwal,2005,10,NETHERLANDS                                       ,Haryana,Short Term Training                                                                                 
01HY018202,Shri Sanjeev Kaushal,2001,2,THAILAND                                          ,Haryana,HUDCO INTERNATIONAL                                                                                 
01HY018202,Shri Sanjeev Kaushal,1992,3,MALAYSIA                                          ,Haryana,ECO DEVL ENVIRONMENT                                                                                
01HY018300,Shri Devender Singh,2004,2,USA                                               ,Haryana,HARVARD U/CAMBRIDGE                                                                                 
01HY018400,Shri Amit Jha,2007,2,UNITED KINGDOM                                    ,Haryana,Short Term Trg. Prog.                                                                               
01HY018400,Shri Amit Jha,2004,2,USA                                               ,Haryana,PRACTICES CORPORATE GOVER                                                                           
01HY018400,Shri Amit Jha,2002,1,JAPAN                                             ,Haryana,PPCM FOR COMMUNITY DEV                                                                              
01HY018600,Ms. Jyoti Arora,2011,1,USA                                               ,Haryana,Sustainable Energy Low Carbon Access and Gov.                                                       
01HY018600,Ms. Jyoti Arora,2011,1,USA                                               ,Haryana,Driving Govt.Perform.Leadership Strategies                                                          
01HY018900,Shri Anil Kumar,2004,1,                                                  ,Haryana,Administrative Law                                                                                  
01HY018900,Shri Anil Kumar,2007,2,                                                  ,Haryana,MANAGEMENT COURSE                                                                                   
01HY018900,Shri Anil Kumar,2007,2,UNITED KINGDOM                                    ,Haryana,Short Term Trg. Programme                                                                           
01HY018900,Shri Anil Kumar,2007,1,FINLAND                                           ,Haryana,Hydraulic Platform Operation                                                                        
