cadre,name,year,duration_weeks,idno,training_name
Karnataka,Dr. K P Krishnan,1989,1,01KN024900,"TMTC,PUNE MGT CHANGE                                                                                "
Karnataka,Dr. K P Krishnan,1990,3,01KN024900,"LBSNAA,JR.GROUP 80-83                                                                               "
Karnataka,Dr. K P Krishnan,1993,1,01KN024900,"ASCI,HYD ECONOMY IMPLI                                                                              "
Karnataka,Dr. K P Krishnan,2002,1,01KN024900,"NLBUI,BANGALORE ADMLAW                                                                              "
Karnataka,Dr. K P Krishnan,2003,3,01KN024900,"CONSULTANCY(ST),SIDA                                                                                "
Karnataka,Shri M Madan Gopal,1989,1,01KN025500,IEG NEW DELHI                                                                                       
Karnataka,Shri M Madan Gopal,1989,1,01KN025500,ASCI  HYDERABAD                                                                                     
Karnataka,Shri M Madan Gopal,1992,3,01KN025500,IIPA NEW DELHI                                                                                      
Karnataka,Shri M Madan Gopal,1993,3,01KN025500,SPIPA AHMEDABAD                                                                                     
Karnataka,Shri M Madan Gopal,1995,1,01KN025500,SPL PROG ON SW &PA                                                                                  
Karnataka,Shri Parmesh Pandey,1989,1,01KN026100,CMC NEW DELHI                                                                                       
Karnataka,Shri Parmesh Pandey,1994,3,01KN026100,AASC GUAHATI                                                                                        
Karnataka,Shri Parmesh Pandey,1997,1,01KN026100,IIM CALCUTTA                                                                                        
Karnataka,Shri Yogendra Tripathy,1990,1,01KN026300,Financial Management                                                                                
Karnataka,Shri Yogendra Tripathy,1993,2,01KN026300,Management in Government                                                                            
Karnataka,Shri Yogendra Tripathy,2000,2,01KN026300,Middle Level 1983-89                                                                                
Karnataka,Ms. Vandita Sharma,1998,1,01KN026700,IIPA ND                                                                                             
Karnataka,Ms. Vandita Sharma,2000,1,01KN026700,TERI                                                                                                
Karnataka,Ms. Vandita Sharma,2000,2,01KN026700,IIML LUCKNOW                                                                                        
Karnataka,Shri M R Kamble,1992,2,01KN027300,MGT IN GOVT PROGRAMMES                                                                              
Karnataka,Shri M R Kamble,1993,3,01KN027300,TRG FOR IAS OFFICERS                                                                                
Karnataka,Shri M R Kamble,1996,1,01KN027300,TRAINING                                                                                            
Karnataka,Shri I S N Prasad,1995,3,01KN027301,ATI NAINITAL                                                                                        
Karnataka,Ms. G Kalpana,1994,3,01KN027700,"UPAA, NAINITAL                                                                                      "
Karnataka,Ms. G Kalpana,2000,2,01KN027700,"IIM,AHMEDABAD                                                                                       "
Karnataka,Ms. V Manjula,1994,3,01KN027800,NAINTIAL GENL ADMIN                                                                                 
Karnataka,Dr. Raj Kumar Khatri,1998,1,01KN028300,IIFT WTO & FOREIGN TRA                                                                              
Karnataka,Dr. B. Basavaraaju,1993,2,01KN028800,STATE TRG INSTT SHIMLA                                                                              
Karnataka,Dr. B. Basavaraaju,1994,3,01KN028800,"AASC GUWAHATI,ASSAM                                                                                 "
Karnataka,Dr. B. Basavaraaju,1995,3,01KN028800,"AASC, GUWAHATI                                                                                      "
Karnataka,Dr. B. Basavaraaju,1996,1,01KN028800,YCADA PUNE                                                                                          
Karnataka,Dr. B. Basavaraaju,1998,1,01KN028800,"UPAA,NAINITAL                                                                                       "
Karnataka,Dr. B. Basavaraaju,2003,1,01KN028800,"LBSNAA,MUSSOORIE                                                                                    "
Karnataka,Shri Jawaid Akhtar,1998,3,01KN029000,LBSNAA MUSSOORIE                                                                                    
Karnataka,Shri Jawaid Akhtar,2001,1,01KN029000,Leadership Skills/Management                                                                        
Karnataka,Shri Jawaid Akhtar,2006,1,01KN029000,E-Goverance                                                                                         
Karnataka,Shri Jawaid Akhtar,2007,1,01KN029000,Public Private Partnership                                                                          
Karnataka,Shri Ganga Ram Baderiya,1998,1,01KN029400,MICROLAND LTD BANGALOE                                                                              
Karnataka,Shri Ganga Ram Baderiya,2003,2,01KN029400,Joint Civil-Military Trg.Prog on Nl Security                                                        
Karnataka,Shri Ganga Ram Baderiya,2009,1,01KN029400,Public Private Partnership                                                                          
Karnataka,Shri Kapil Mohan,1995,2,01KN029600,ADM STAFF COLLEGE HYD                                                                               
Karnataka,Shri Kapil Mohan,1996,1,01KN029600,IIPA NEW DELHI                                                                                      
Karnataka,Shri Kapil Mohan,1998,1,01KN029600,"MICROLAND,BANGALORE                                                                                 "
Karnataka,Shri Kapil Mohan,1999,2,01KN029600,GAA BHUBANESHWAR ORISS                                                                              
Karnataka,Shri Atul Kumar Tiwari,1996,3,01KN029800,JUNIOR LEVEL-1987-90 BATCHES                                                                        
Karnataka,Shri Atul Kumar Tiwari,1998,2,01KN029800,RESETTELEMENT & REHAB                                                                               
Karnataka,Shri Atul Kumar Tiwari,2003,1,01KN029800,FIN. FOR NON-FIN EXECUTIVES                                                                         
Karnataka,Shri Atul Kumar Tiwari,2007,1,01KN029800,Integrating Socio-Eco.& Env.impacts of Infrastructural Projects                                     
Karnataka,Shri Atul Kumar Tiwari,2014,40,01KN029800,The 39th Advance Professional Programme in Public Administration                                    
Karnataka,Shri G Kumar Naik,1997,3,01KN029900,YASHADA PUNE                                                                                        
Karnataka,Shri G Kumar Naik,1997,1,01KN029900,NIHAM THIRUVANANTHAPUR                                                                              
Karnataka,Shri G Kumar Naik,1998,1,01KN029900,IIPA NEW DELHI                                                                                      
Karnataka,Ms. Vidyavathi V,2002,52,01KN030100,PGP in Pub.Polixcy and Mgmt                                                                         
Karnataka,Shri T Sham Bhatt,2002,3,01KN030414,LBSNNA MUSSORIE                                                                                     
Karnataka,Shri Tushar Giri Nath,1998,1,01KN030500,SEMINAR SHIMLA                                                                                      
Karnataka,Shri Tushar Giri Nath,1999,1,01KN030500,IIPA NEW DELHI DIS MGT                                                                              
Karnataka,Shri Tushar Giri Nath,2006,1,01KN030500,DROUGHT MGT                                                                                         
Karnataka,Shri S R Umashankar,1997,1,01KN030600,YASHADA PUNE RURAL EMP                                                                              
Karnataka,Shri Arvind Shrivastava,1998,2,01KN030700,NIFM FARIDABAD                                                                                      
Karnataka,Shri Anjum Parwez,1998,1,01KN030800,"IIPA, NEW DELHI                                                                                     "
Karnataka,Shri Mohd Mohsin,2001,2,01KN031100,P P for World Bank Projects                                                                         
Karnataka,Shri Mohd Mohsin,2008,1,01KN031100,BPIDSO and Main.Discom                                                                              
Karnataka,Shri Mohd Mohsin,2009,1,01KN031100,Sustainable Urban Transport                                                                         
Karnataka,Shri Rajender Kumar Kataria,2000,1,01KN031200,Value Added Tax Policy & Admn.                                                                      
Karnataka,Shri Rajender Kumar Kataria,2001,3,01KN031200,MS OFFICE TRG.                                                                                      
Karnataka,Shri Rajender Kumar Kataria,2003,2,01KN031200,Jr.Level  Training                                                                                  
Karnataka,Shri P S Vastrad,2007,3,01KN032113,Induction trg. Programme                                                                            
Karnataka,Shri Subodh Yadav,2010,1,01KN032300,Orientation Training Program                                                                        
Karnataka,Shri Subodh Yadav,2012,1,01KN032300,Investigating Economic Crimes in Financial Markets                                                  
Karnataka,Shri Subodh Yadav,2013,1,01KN032300,Ethics in Public Governance                                                                         
Karnataka,Shri Vipul Bansal,2008,1,01KN034300,"NIDM, New Delhi                                                                                     "
Karnataka,Dr. Reju M T,2010,1,01KN034400,Programme on Project Management                                                                     
Karnataka,Shri P Rajendra Cholan,2009,4,01KN035501,survey & settlement training                                                                        
Karnataka,Shri Krishna Bajpai,2014,5,01KN109D05,Institutional and Language Training and Training                                                    
Karnataka,Shri S S Nakul,2013,1,01KN109K03,"Working Conference on Authority, Organisation Strategies and Politics of Relatedness(AOSPOR)        "
Maharashtra,Dr. J M Phatak,1981,3,01MH031300,TRG OF ASSTT COLLECTRS                                                                              
Maharashtra,Dr. J M Phatak,1986,4,01MH031300,COURSE FOR IAS OFF BHO                                                                              
Maharashtra,Dr. Amitabh Rajan,1985,1,01MH032000,INSTT.OF MGT.THIRUVANH                                                                              
Maharashtra,Dr. Amitabh Rajan,1986,1,01MH032000,CAB(RBI)PUNE                                                                                        
Maharashtra,Dr. Amitabh Rajan,1987,4,01MH032000,MP ACAD.OF ADMN.BHOPAL                                                                              
Maharashtra,Dr. Amitabh Rajan,1988,1,01MH032000,SVPNPA.HYD.                                                                                         
Maharashtra,Dr. Amitabh Rajan,1989,1,01MH032000,IPE.HYD.                                                                                            
Maharashtra,Dr. Amitabh Rajan,1993,3,01MH032000,ASCI.HYD.                                                                                           
Maharashtra,Dr. Amitabh Rajan,1994,1,01MH032000,IIM.AHMEDABAD                                                                                       
Maharashtra,Dr. Amitabh Rajan,2000,1,01MH032000,"IDSA,NEW DELHI                                                                                      "
Maharashtra,Dr. Amitabh Rajan,2002,1,01MH032000,NIFM.FARIDABAD                                                                                      
Maharashtra,Dr. Amitabh Rajan,2005,1,01MH032000,Administrative Law                                                                                  
Maharashtra,Dr. Amitabh Rajan,2006,1,01MH032000,IIFT New Delhi                                                                                      
Maharashtra,Dr. Swadheen S Kshatriya,1985,1,01MH032300,AIMA.DELHI                                                                                          
Maharashtra,Dr. Swadheen S Kshatriya,1987,4,01MH032300,SPIPA.AHEMEDABAD                                                                                    
Maharashtra,Dr. Swadheen S Kshatriya,1989,1,01MH032300,"SIET,HYDERABAD                                                                                      "
Maharashtra,Dr. Swadheen S Kshatriya,1990,1,01MH032300,XIM.BHUBANESHWAR                                                                                    
Maharashtra,Dr. Swadheen S Kshatriya,1996,39,01MH032300,IIPA NEW DELHI                                                                                      
Maharashtra,Dr. Swadheen S Kshatriya,1999,2,01MH032300,LBSNAA.MUSSOORIE                                                                                    
Maharashtra,Dr. Swadheen S Kshatriya,2000,2,01MH032300,NIPF&P ND VALUE ADDED                                                                               
Maharashtra,Dr. Swadheen S Kshatriya,2001,1,01MH032300,ASCI.HYDERABAD                                                                                      
Maharashtra,Dr. Swadheen S Kshatriya,2002,1,01MH032300,LBSNAA.MUSSOORIE                                                                                    
Maharashtra,Dr. Swadheen S Kshatriya,2004,1,01MH032300,E-GOVERNANCE & ITS BENEFITS                                                                         
Maharashtra,Shri Gautam Chatterjee,1998,2,01MH033600,IIM CALCUTTA MGT TRG                                                                                
Maharashtra,Shri Sumit Mallick,2002,52,01MH033900,"IIM, BANGALORE.                                                                                     "
Maharashtra,Shri Sunil Porwal,2004,2,01MH034101,IN SERVICE TRG                                                                                      
Maharashtra,Dr. Bhagwan Sahai,1988,1,01MH034900,"SIET,HYD SMALL SCALE                                                                                "
Maharashtra,Dr. Bhagwan Sahai,1990,1,01MH034900,"IIMA, MGT CONT SYSTEM                                                                               "
Maharashtra,Dr. Bhagwan Sahai,1993,3,01MH034900,"IMG,MYSORE ENV& R.DEV.                                                                              "
Maharashtra,Dr. Bhagwan Sahai,1996,3,01MH034900,"LBSNA,MUSSOORIE MIDDLE                                                                              "
Maharashtra,Dr. Shailesh Kumar Sharma,1989,1,01MH035400,TATA ENERGY RES INST                                                                                
Maharashtra,Dr. Shailesh Kumar Sharma,1989,1,01MH035400,IPE HYD MANAGEMENT                                                                                  
Maharashtra,Dr. Shailesh Kumar Sharma,1992,1,01MH035400,IIPA ND                                                                                             
Maharashtra,Dr. Shailesh Kumar Sharma,1994,1,01MH035400,HCM RAJ INST PUB ADMN                                                                               
Maharashtra,Dr. Shailesh Kumar Sharma,1997,3,01MH035400,LBSNAA MUSSOORIE                                                                                    
Maharashtra,Dr. Shailesh Kumar Sharma,2004,1,01MH035400,COMMUNITY MOBILIZATION &MGT                                                                         
Maharashtra,Shri Sham Lal Goyal,1993,3,01MH036200,UP ACADY OF NAINITAL                                                                                
Maharashtra,Shri Sham Lal Goyal,1997,2,01MH036200,HCMRIPA JAIPUR MGT D P                                                                              
Maharashtra,Shri Sham Lal Goyal,1998,2,01MH036200,IIM LUCKNOW                                                                                         
Maharashtra,Dr.(Ms.) Kavita Gupta,1990,1,01MH036300,Rural Dev. Admn. & Administration of Anti Poverty Prog.                                             
Maharashtra,Dr.(Ms.) Kavita Gupta,1990,1,01MH036300,Computer Awareness Traiining                                                                        
Maharashtra,Dr.(Ms.) Kavita Gupta,1990,1,01MH036300,Integrated Rural Dev. Programme                                                                     
Maharashtra,Shri Arvind Kumar,1996,3,01MH036400,MANAGING CHANGE COURSE                                                                              
Maharashtra,Shri Mukesh Khullar,1989,1,01MH036500,COMPULSORY TRG JAIPUR                                                                               
Maharashtra,Shri Mukesh Khullar,1992,3,01MH036500,COMPULSORY TRG NAINITL                                                                              
Maharashtra,Shri Mukesh Khullar,1995,1,01MH036500,IIPA NEW DELHI                                                                                      
Maharashtra,Shri Mukesh Khullar,1996,3,01MH036500,LBSNAA MUSSOORIE                                                                                    
Maharashtra,Shri Mukesh Khullar,1998,1,01MH036500,TERI NEW DELHI                                                                                      
Maharashtra,Shri V Giriraj,1989,1,01MH036600,"IPE,HYD MGT PUBLIC ENT                                                                              "
Maharashtra,Shri V Giriraj,1993,3,01MH036600,"ATI,MYSORE TRG IN SRRV                                                                              "
Maharashtra,Shri V Giriraj,1996,1,01MH036600,"HSMI,ND MGT URBAN SETT                                                                              "
Maharashtra,Shri V Giriraj,1999,1,01MH036600,CONSULTANCY(ST)UNDP                                                                                 
Maharashtra,Shri V Giriraj,2000,1,01MH036600,"IIFT,ND WTO&NEW WORLD                                                                               "
Maharashtra,Shri Manu Kumar Srivastava,2004,1,01MH037200,e-GOVERNANCE&IT MGT                                                                                 
Maharashtra,Shri Bijay Kumar,1990,1,01MH037400,MH INST. DEV ADMN PUNE                                                                              
Maharashtra,Shri Bijay Kumar,1996,3,01MH037400,LBSNAA SOCIAL SEC MGT.                                                                              
Maharashtra,Shri Bijay Kumar,1997,1,01MH037400,MGT OF ENVIRMT NAINITL                                                                              
Maharashtra,Dr. Bipin Bihari Mallick,2007,47,01MH037800,N.D.C. New Delhi                                                                                    
Maharashtra,Dr. Kshatrapati Shivaji,1991,65,01MH037803,PGDM MGT.ECONOMIC FIN.                                                                              
Maharashtra,Dr. Kshatrapati Shivaji,1993,3,01MH037803,SPIPA- Public Administrat                                                                           
Maharashtra,Dr. Kshatrapati Shivaji,1996,1,01MH037803,IMI ECONOMIC FINANCE INDU                                                                           
Maharashtra,Dr. Kshatrapati Shivaji,1996,1,01MH037803,"E-Governance, Economic Finance, Industries                                                          "
Maharashtra,Dr. Kshatrapati Shivaji,1996,1,01MH037803,WTO-Economic Finance Industry & International Trade                                                 
Maharashtra,Shri R A Rajeev,1994,3,01MH038000,ATIM MYSORE ENVIRN&RD                                                                               
Maharashtra,Shri Vijay Kumar Gautam,1997,2,01MH038300,"INST OF MGT,MGT DEV PR                                                                              "
Maharashtra,Shri Apurva Chandra,1993,2,01MH038800,Export of Handloom/Handicrafts                                                                      
Maharashtra,Shri Apurva Chandra,1994,3,01MH038800,In Service Training                                                                                 
Maharashtra,Shri Nitin Ramchandra Gadre,2004,1,01MH039400,E-GOVERNANCE & ITS BENEFIT                                                                          
Maharashtra,Shri Iqbal Singh Chahal,1990,5,01MH039600,YASHADA.PUNE                                                                                        
Maharashtra,Shri Iqbal Singh Chahal,1992,3,01MH039600,YASHADA.PUNE                                                                                        
Maharashtra,Shri Iqbal Singh Chahal,1995,1,01MH039600,SERICULTURE.BANGALORE                                                                               
Maharashtra,Shri Iqbal Singh Chahal,1996,3,01MH039600,LBSNAA.MUSSOORIE                                                                                    
Maharashtra,Shri Iqbal Singh Chahal,2001,2,01MH039600,IIPA.NEW DELHI                                                                                      
Maharashtra,Shri Iqbal Singh Chahal,2003,1,01MH039600,ASCI Hyderabad                                                                                      
Maharashtra,Shri Nand Kumar,1993,1,01MH039700,Chief Ex.Officers Trg.Prog.                                                                         
Maharashtra,Shri Nand Kumar,1995,1,01MH039700,New Trend in Pan.Raj.Admn.                                                                          
Maharashtra,Shri Nand Kumar,1996,3,01MH039700,REFRESHER COURSE                                                                                    
Maharashtra,Shri Nand Kumar,2005,2,01MH039700,GOVERNANCE MILLENNIUM                                                                               
Maharashtra,Dr. Pradeep Kumar Vyas,1998,2,01MH039801,"HCM RIPA,JAIPUR                                                                                     "
Maharashtra,Shri Samir Kumar Biswas,1996,3,01MH040600,Junior level Batches 1987-90                                                                        
Maharashtra,Shri Samir Kumar Biswas,2000,1,01MH040600,Participated in the Programme on Financial Management for IAS Officers                              
Maharashtra,Shri Samir Kumar Biswas,2001,1,01MH040600,Finance and Information Technology                                                                  
Maharashtra,Shri Samir Kumar Biswas,2009,1,01MH040600,Public Private Partnership                                                                          
Maharashtra,Shri Shrikant M Deshpande,1995,1,01MH040900,NEW TRENDS IN PANCHAYAT RAJ ADMN.                                                                   
Maharashtra,Shri Shrikant M Deshpande,2003,104,01MH040900,POST GRADUATE DIPLOMA                                                                               
Maharashtra,Shri Shrikant M Deshpande,2004,1,01MH040900,DESIGN OF TRG.                                                                                      
Maharashtra,Shri Shrikant M Deshpande,2004,2,01MH040900,TRG.NEEDS ANALYSIS (NATIONAL)                                                                       
Maharashtra,Shri Shrikant M Deshpande,2004,1,01MH040900,DIRECT TRAINER SKILLS                                                                               
Maharashtra,Shri Mahesh Dinkar Pathak,1997,3,01MH041100,IMG TRIVANDRUM                                                                                      
Maharashtra,Shri S V R Sriniwas,1995,1,01MH041200,PANCHYATI RAJ ADMN                                                                                  
Maharashtra,Shri S V R Sriniwas,1996,1,01MH041200,RURAL APPRAISAL                                                                                     
Maharashtra,Shri S V R Sriniwas,1996,1,01MH041200,ROLE OF PANCHAYAT                                                                                   
Maharashtra,Shri S V R Sriniwas,1997,1,01MH041200,RA'VISH-II ADMN                                                                                     
Maharashtra,Shri S V R Sriniwas,1997,3,01MH041200,LBSNAA MUSSOORIE                                                                                    
Maharashtra,Ms. Valsa Nair Singh,1998,2,01MH041201,TRG FOR IAS OFFICERS                                                                                
Maharashtra,Shri Sanjeev Kumar,2000,2,01MH042000,JUNIOR LEVEL 1991-94 BATCHES                                                                        
Maharashtra,Shri Sanjeev Kumar,2004,2,01MH042000,MIDDLE LEVEL(10-16 YEARS SERVICE                                                                    
Maharashtra,Shri Jagdish Prasad Gupta,2011,105,01MH042100,Improving Governace Through Accountability                                                          
Maharashtra,Shri Mahesh R Zagade,1997,1,01MH042311,"YASHADA MIDA,PUNE                                                                                   "
Maharashtra,Shri Mahesh R Zagade,1998,6,01MH042311,"LBSNAA,INDUCTION TRG                                                                                "
Maharashtra,Shri T V Satre,2000,8,01MH042415,"LBSNAA,MUSSOORIE                                                                                    "
Maharashtra,Shri S K Sawant,2002,8,01MH042420,"LBSNAA,MUSSOORIE                                                                                    "
Maharashtra,Shri Vikas Shankar Kharage,2001,1,01MH042700,Plg for disaster Mgt                                                                                
Maharashtra,Shri Vikas Shankar Kharage,2002,1,01MH042700,Disaster Management                                                                                 
Maharashtra,Shri Vikas Shankar Kharage,2004,1,01MH042700,INCIDENT MGT.SYSTEM                                                                                 
Maharashtra,Shri Vikas Shankar Kharage,2005,2,01MH042700,Goverance in the new Millenium                                                                      
Maharashtra,Shri Vikas Shankar Kharage,2005,0,01MH042700,Short Term Training                                                                                 
Maharashtra,Shri Vikas Shankar Kharage,2007,1,01MH042700,Basic course on WTO for IAS                                                                         
Maharashtra,Dr.(Ms.) Mary Neelima Karketta,2003,2,01MH043200,"IIMB,INNOVATION MGT PG                                                                              "
Maharashtra,Shri Santosh Kumar,2002,2,01MH043202,"LBSNAA,MUSSRIE 6-9 YRS                                                                              "
Maharashtra,Dr. V N More,2000,8,01MH043211,"LBSNAA,MUSSOORIE                                                                                    "
Maharashtra,Dr. V N More,2002,2,01MH043211,"H.C.M.R.I.P.A.,JAIPUR                                                                               "
Maharashtra,Shri R L Mopalwar,2002,8,01MH043711,"LBSNAA,MUSSOORIE                                                                                    "
Maharashtra,Shri Sanjay Jagannath Khandare,2000,2,01MH044400,Trg Programme on Resource Mobilisation by Panchats                                                  
Maharashtra,Shri Sanjay Jagannath Khandare,2001,1,01MH044400,Information Technology and Disaster Mgt                                                             
Maharashtra,Shri Sanjeev Jaiswal,2003,2,01MH044500,"LABSNAA,MUSORIE,TRG PG                                                                              "
Maharashtra,Shri Rajeev Kumar Mital,2004,1,01MH045000,ELECTORAL MGT&ADMN                                                                                  
Maharashtra,Shri Philip D Gabrial,2000,1,01MH045319,FINL MGT.YYCIDA.PUNE                                                                                
Maharashtra,Ms. Anshu Sinha,2012,1,01MH045401,Orientation Programme for Director and Dy Secy                                                      
Maharashtra,Ms. Anshu Sinha,2013,1,01MH045401,Inter-Services Workshop on Best Practices                                                           
Maharashtra,Shri Niranjan Kumar Sudhansu,2011,104,01MH046000,Public Policy and Management                                                                        
Maharashtra,Dr.(Ms.) Nidhi Pandey,2006,1,01MH046101,Capacity Bldg of Community Based Orgn Praparatory Dev                                               
Maharashtra,Dr.(Ms.) Nidhi Pandey,2007,1,01MH046101,Role of PRIs on Mgt of Poverty Alleviation                                                          
Maharashtra,Dr.(Ms.) Nidhi Pandey,2009,2,01MH046101,National level Trainers Dev. Prog. on Training Need Analysis & Use of TNA Toolkit at YASHADA        
Maharashtra,Dr.(Ms.) Nidhi Pandey,2009,2,01MH046101,Nl Level Trainers Dev Prog.on trg  Need                                                             
Maharashtra,Dr.(Ms.) Nidhi Pandey,2010,4,01MH046101,On-lline Course on Climate Change & Disaster Mgt.                                                   
Maharashtra,Dr.(Ms.) Nidhi Pandey,2010,3,01MH046101,"PRT Development Workshop in TNA, Lucknow                                                            "
Maharashtra,Dr. Nirupama J. Dange,2010,1,01MH049200,Workshop organized by Rural Development Department  of GOM                                          
Maharashtra,Dr. Nirupama J. Dange,2014,1,01MH049200,Fiscal policy and Macroeconomic Management                                                          
Madhya Pradesh,Shri Devendra Singhai,1982,2,01MP030300,PRASHASHAN ACADMY BHOP                                                                              
Madhya Pradesh,Shri Devendra Singhai,1985,8,01MP030300,IN SERVICE TRAINING                                                                                 
Madhya Pradesh,Dr. Rajan S Katoch,1985,1,01MP031100,ADMN PROG.IMPLEMENTN                                                                                
Madhya Pradesh,Dr. Rajan S Katoch,1986,4,01MP031100,JR.LEVEL PROGM.                                                                                     
Madhya Pradesh,Dr. Rajan S Katoch,1987,1,01MP031100,HUMAN RES.DEVLOPMT                                                                                  
Madhya Pradesh,Dr. Rajan S Katoch,1988,1,01MP031100,MIS&COMPUTER APPL.                                                                                  
Madhya Pradesh,Dr. Rajan S Katoch,1989,1,01MP031100,FINANCIAL MGT.                                                                                      
Madhya Pradesh,Dr. Rajan S Katoch,1996,3,01MP031100,MIDDLE LEVEL TRG                                                                                    
Madhya Pradesh,Dr. Rajan S Katoch,2001,1,01MP031100,ETHICAL ISSUES ADMN                                                                                 
Madhya Pradesh,Dr. Rajan S Katoch,2007,1,01MP031100,Goverance Challenges for India                                                                      
Madhya Pradesh,Shri Anthony J C Desa,1989,4,01MP032400,Project Formu.& Fin.Mgt.                                                                            
Madhya Pradesh,Shri Anthony J C Desa,1996,3,01MP032400,Mgt.& Public Admn.                                                                                  
Madhya Pradesh,Shri Anthony J C Desa,2000,2,01MP032400,Information Tecnolog                                                                                
Madhya Pradesh,Shri Prabhudayal Meena,1987,4,01MP032800,HCMIPA JAIPUR                                                                                       
Madhya Pradesh,Ms. Ajita Bajpai Pande,1988,4,01MP033200,TRG PUB ADMN                                                                                        
Madhya Pradesh,Dr.(Ms.) Aruna Sharma,1985,1,01MP033600,AGRICULTURAL DEVP.                                                                                  
Madhya Pradesh,Dr.(Ms.) Aruna Sharma,1986,1,01MP033600,FINCL MGT LEVEL I                                                                                   
Madhya Pradesh,Dr.(Ms.) Aruna Sharma,1987,1,01MP033600,RURAL ENERGY PLG&TECH                                                                               
Madhya Pradesh,Dr.(Ms.) Aruna Sharma,1993,1,01MP033600,RESTRUCTING ECO.IMPLICT                                                                             
Madhya Pradesh,Dr.(Ms.) Aruna Sharma,1999,1,01MP033600,WTO&NEW TRADE REGIME                                                                                
Madhya Pradesh,Dr.(Ms.) Aruna Sharma,2003,1,01MP033600,MGT. OF VAT                                                                                         
Madhya Pradesh,Dr.(Ms.) Aruna Sharma,2004,1,01MP033600,ADVANCE COURSE ON WTO                                                                               
Madhya Pradesh,Shri Ajay Nath,2002,2,01MP034200,Governance                                                                                          
Madhya Pradesh,Shri Ajay Nath,2004,2,01MP034200,Ethics                                                                                              
Madhya Pradesh,Shri Pravesh Sharma,1985,1,01MP034300,"IPE,HYD MGT OF PUB ENT                                                                              "
Madhya Pradesh,Shri Pravesh Sharma,1986,1,01MP034300,IIPA ND NEW EDUCA POLY                                                                              
Madhya Pradesh,Shri Pravesh Sharma,1988,1,01MP034300,INST OF MGT TRIVANDRUM                                                                              
Madhya Pradesh,Shri Pravesh Sharma,1989,1,01MP034300,ATI NAINITAL MGT ENVER                                                                              
Madhya Pradesh,Shri Pravesh Sharma,1992,1,01MP034300,NL INST PUB FIN&POLICY                                                                              
Madhya Pradesh,Shri Pravesh Sharma,1997,3,01MP034300,"NL ACADEMY OF ADMN,MUS                                                                              "
Madhya Pradesh,Ms. Snehlata Shrivastava,1986,1,01MP034600,"NPC,PRODUCTIVITY IN GV                                                                              "
Madhya Pradesh,Ms. Snehlata Shrivastava,1987,1,01MP034600,"HCM RSIPA,JAIPUR PLANG                                                                              "
Madhya Pradesh,Ms. Snehlata Shrivastava,1988,1,01MP034600,"HUDCO, URBAN DEVELOPMT                                                                              "
Madhya Pradesh,Ms. Snehlata Shrivastava,1994,3,01MP034600,"IIMB, MIDDLE LEVEL TRG                                                                              "
Madhya Pradesh,Ms. Snehlata Shrivastava,1997,1,01MP034600,"CIRT,PUNE TRANSP POLIC                                                                              "
Madhya Pradesh,Dr. Dev Raj Birdi,1985,1,01MP034800,MGT.CONCEPTS&DECISION                                                                               
Madhya Pradesh,Dr. Dev Raj Birdi,1986,1,01MP034800,COOPERATION                                                                                         
Madhya Pradesh,Dr. Dev Raj Birdi,1986,2,01MP034800,MGT URBAN DEVLOPMENT                                                                                
Madhya Pradesh,Dr. Dev Raj Birdi,1987,1,01MP034800,MIS&COMPUTER APPLI.                                                                                 
Madhya Pradesh,Dr. Dev Raj Birdi,1988,1,01MP034800,ENERGY&ENVIRONMT                                                                                    
Madhya Pradesh,Dr. Dev Raj Birdi,1988,1,01MP034800,JT TRG FOR DM&SP                                                                                    
Madhya Pradesh,Dr. Dev Raj Birdi,1989,1,01MP034800,RESPONSIVE ADMN                                                                                     
Madhya Pradesh,Dr. Dev Raj Birdi,1989,1,01MP034800,DEVELOPMENT ADMN                                                                                    
Madhya Pradesh,Dr. Dev Raj Birdi,1990,1,01MP034800,FLOOD MGT                                                                                           
Madhya Pradesh,Dr. Dev Raj Birdi,1994,3,01MP034800,MIDDLE LEVEL TRAINING                                                                               
Madhya Pradesh,Dr. Dev Raj Birdi,1997,1,01MP034800,REMOTE SENSING                                                                                      
Madhya Pradesh,Dr. Dev Raj Birdi,1998,1,01MP034800,MGT INFORMATION&TECH                                                                                
Madhya Pradesh,Dr. Dev Raj Birdi,2000,1,01MP034800,NATIONAL SECURITY                                                                                   
Madhya Pradesh,Dr. Dev Raj Birdi,2001,2,01MP034800,SENIOR LEVEL TRG                                                                                    
Madhya Pradesh,Dr. Dev Raj Birdi,2003,1,01MP034800,NEGOTIATING STRATEGIES                                                                              
Madhya Pradesh,Shri Jaideep Govind,1989,1,01MP036900,TERI ND                                                                                             
Madhya Pradesh,Shri Jaideep Govind,1994,3,01MP036900,ATI MYSORE                                                                                          
Madhya Pradesh,Shri Jaideep Govind,1995,1,01MP036900,NIC NEW DELHI                                                                                       
Madhya Pradesh,Shri Jaideep Govind,1998,1,01MP036900,IPE HYD PUBLIC SEC MGT                                                                              
Madhya Pradesh,Shri Jaideep Govind,2002,1,01MP036900,IT AND E-GOVERNANCE                                                                                 
Madhya Pradesh,Shri Prabhanshu Kamal,1990,1,01MP037800,PLG&MGT OF URBAN SERVI                                                                              
Madhya Pradesh,Shri Prabhanshu Kamal,1993,3,01MP037800,"ATIN,NAINITAKL ENV&R.D                                                                              "
