ID,Name,Service,Cadre,Allotment_Year,Date_of_Birth,Date_of_Joining,Source_of_Recruitment,Gender,Place_of_Domicile,Mother_Tongue,Languages_Known,Retired,Retirement_Reason,Source
GJ007700,Shri V Krishnamurthy,Indian Administrative Services,Gujarat ,1961,14-09-1938,01-07-1961,Direct Recruitment,Male,Tamil Nadu,Tamil,English Gujarati Hindi,FALSE,Superannuated,Supremo
GJ007800,Shri G R Rao,Indian Administrative Services,Gujarat ,1961,25-05-1937,01-07-1961,Direct Recruitment,Male,Karnataka,Kannada,English Gujarati Hindi,FALSE,Superannuated,Supremo
GJ007900,Shri P V Swaminathan,Indian Administrative Services,Gujarat ,1961,06-09-1937,01-07-1961,Direct Recruitment,Male,Tamil Nadu,Tamil,English Gujarati Hindi,FALSE,Superannuated,Supremo
GJ008100,Shri K Ramamoorthy,Indian Administrative Services,Gujarat ,1961,22-05-1937,01-07-1961,Direct Recruitment,Male,Kerala,Tamil,English Gujarati Hindi Malayalam,FALSE,Superannuated,Supremo
GJ008200,Dr. K C Sagar,Indian Administrative Services,Gujarat ,1961,01-01-1932,01-07-1961,Direct Recruitment,Male,Uttar Pradesh,Hindi,English German Gujarati,FALSE,Superannuated,Supremo
GJ008201,Shri J D Gajjar,Indian Administrative Services,Gujarat ,1961,25-12-1930,01-07-1961,By Promotion from State Civil Service,Male,Gujarat,Gujarati,English Hindi,FALSE,Superannuated,Supremo
GJ008202,Shri Td Soyantar,Indian Administrative Services,Gujarat ,1961,15-05-1931,01-07-1961,By Promotion from State Civil Service,Male,Gujarat,Gujarati,English Hindi Marathi,FALSE,Superannuated,Supremo
UT002500,Shri Vk Kapoor,Indian Administrative Services,A G M U T ,1961,13-09-1938,01-07-1961,Direct Recruitment,Male,Punjab,Punjabi,English Hindi Urdu,FALSE,Superannuated,Supremo
UT002600,Shri P Rohmingthanga,Indian Administrative Services,A G M U T ,1961,01-02-1938,01-07-1961,Direct Recruitment,Male,Mizoram,Mizo,Assamese English Hindi,FALSE,Superannuated,Supremo
HP002000,Shri Rc Gupta,Indian Administrative Services,Himachal Pradesh ,1961,24-12-1936,01-07-1961,Direct Recruitment,Male,Haryana,Hindi,English Urdu,FALSE,Retired voluntarily,Supremo
HY004500,Shri A Banerjee,Indian Administrative Services,Haryana ,1961,27-03-1937,01-07-1961,Direct Recruitment,Male,West Bengal,Bengali,English Hindi,FALSE,Retired after Extension/Re-Employment,Supremo
HY004700,Shri Ld Kataria,Indian Administrative Services,Haryana ,1961,10-08-1933,01-07-1961,Direct Recruitment,Male,Punjab,Hindi,English Punjabi Urdu,FALSE,Superannuated,Supremo
JK001300,Shri Rk Takkar,Indian Administrative Services,Jammu & Kashmir ,1961,20-10-1937,01-07-1961,Direct Recruitment,Male,Delhi,Punjabi,English Hindi Urdu,FALSE,Retired after Extension/Re-Employment,Supremo
KL005400,Shri R Nair,Indian Administrative Services,Kerala ,1961,23-04-1939,01-07-1961,Direct Recruitment,Male,Kerala,Malayalam,English Hindi Tamil,FALSE,Superannuated,Supremo
KL005500,Shri Gg Pillai,Indian Administrative Services,Kerala ,1961,20-08-1938,01-07-1961,Direct Recruitment,Male,Kerala,Malayalam,English Hindi,FALSE,Superannuated,Supremo
KL005600,Shri Kln Rao,Indian Administrative Services,Kerala ,1961,20-05-1937,01-07-1961,Direct Recruitment,Male,Karnataka,Kannada,English Hindi Malayalam,FALSE,Retired voluntarily,Supremo
BH014500,Shri Ar Bandopadhyay,Indian Administrative Services,Bihar ,1961,03-03-1935,01-07-1961,Direct Recruitment,Male,West Bengal,Bengali,English,FALSE,Retired after Extension/Re-Employment,Supremo
BH014800,Shri Ramadhar,Indian Administrative Services,Bihar ,1961,03-07-1937,01-07-1961,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Sanskrit,FALSE,Retired after Extension/Re-Employment,Supremo
BH015200,Shri J M Lyngdoh,Indian Administrative Services,Bihar ,1961,08-02-1939,01-07-1961,Direct Recruitment,Male,Meghalaya,English,French Hindi Nepalese,FALSE,Retired after Extension/Re-Employment,Supremo
GJ007600,Shri M S Dayal,Indian Administrative Services,Gujarat ,1961,06-01-1938,01-07-1961,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Sanskrit,FALSE,Retired after Extension/Re-Employment,Supremo
MH012700,Shri K Padmanabhaiah,Indian Administrative Services,Maharashtra ,1961,06-10-1938,01-07-1961,Direct Recruitment,Male,Maharashtra,Telugu,English German Hindi Marathi,FALSE,Retired after Extension/Re-Employment,Supremo
MP014200,Shri Kd Saxena,Indian Administrative Services,Madhya Pradesh ,1961,01-09-1937,01-07-1961,Direct Recruitment,Male,Uttar Pradesh,Hindi,Hindi,FALSE,Retired after Extension/Re-Employment,Supremo
OR009400,Dr. Sk Mahapatra,Indian Administrative Services,Odisha ,1961,17-09-1937,01-07-1961,Direct Recruitment,Male,Odisha,Oriya,English French Hindi Telugu,FALSE,Retired after Extension/Re-Employment,Supremo
OR009600,Shri Somnath Som,Indian Administrative Services,Odisha ,1961,08-07-1938,01-07-1961,Direct Recruitment,Male,West Bengal,Bengali,English Hindi Oriya,FALSE,Retired after Extension/Re-Employment,Supremo
PB004900,Shri K S Bains,Indian Administrative Services,Punjab ,1961,11-05-1935,01-07-1961,Direct Recruitment,Male,Punjab,Punjabi,English Hindi Punjabi Urdu,FALSE,Retired after Extension/Re-Employment,Supremo
PB005200,Dr. Sada Nand,Indian Administrative Services,Punjab ,1961,19-06-1933,01-07-1961,Direct Recruitment,Male,Punjab,Punjabi,English German Sanskrit Urdu,FALSE,Retired after Extension/Re/Employment,Supremo
RJ010900,Shri Dr Mehta,Indian Administrative Services,Rajasthan ,1961,25-06-1937,01-07-1961,Direct Recruitment,Male,Rajasthan,Hindi,English,FALSE,Retired after Extension/Re-Employment,Supremo
MH011800,Shri N Jayaraman,Indian Administrative Services,Maharashtra ,1961,06-01-1937,01-07-1961,Direct Recruitment,Male,Maharashtra,Tamil,English Marathi,FALSE,Superannuated,Supremo
MH011900,Shri Si Jambunathan,Indian Administrative Services,Maharashtra ,1961,01-05-1938,01-07-1961,Direct Recruitment,Male,Maharashtra,Tamil,English Hindi Marathi Sanskrit,FALSE,Superannuated,Supremo
MH012000,Shri Sr Kakodkar,Indian Administrative Services,Maharashtra ,1961,17-03-1937,01-07-1961,Direct Recruitment,Male,Maharashtra,Marathi,French Hindi Spanish,FALSE,Superannuated,Supremo
MH012100,Shri Pb Rajagopalan,Indian Administrative Services,Maharashtra ,1961,15-06-1937,01-07-1961,Direct Recruitment,Male,Maharashtra,Tamil,English Hindi Marathi,FALSE,Superannuated,Supremo
MH012200,Shri Akg Desai,Indian Administrative Services,Maharashtra ,1961,28-02-1937,01-07-1961,Direct Recruitment,Male,N.A.,Marathi,English Hindi Spanish,FALSE,Retired voluntarily,Supremo
MH012300,Shri Bn Bhagwat,Indian Administrative Services,Maharashtra ,1961,21-12-1936,01-07-1961,Direct Recruitment,Male,Maharashtra,Kannada,English French Hindi Marathi,FALSE,Superannuated,Supremo
MH012400,Shri Dk Jain,Indian Administrative Services,Maharashtra ,1961,28-10-1937,01-07-1961,Direct Recruitment,Male,Haryana,Hindi,English Marathi Punjabi,FALSE,Superannuated,Supremo
MH012500,Shri V Sundaram,Indian Administrative Services,Maharashtra ,1961,21-10-1936,01-07-1961,Direct Recruitment,Male,Tamil Nadu,Tamil,English French Hindi Marathi,FALSE,Superannuated,Supremo
MH012600,Shri Had Saiwan,Indian Administrative Services,Maharashtra ,1961,08-08-1938,01-07-1961,Direct Recruitment,Male,Meghalaya,Khasi,English Hindi Marathi,FALSE,Superannuated,Supremo
MP013900,Shri Sc Behar,Indian Administrative Services,Madhya Pradesh ,1961,31-01-1939,01-07-1961,Direct Recruitment,Male,Madhya Pradesh,Hindi,English,FALSE,Superannuated,Supremo
MP014000,Dr. M K Ranjitsingh,Indian Administrative Services,Madhya Pradesh ,1961,19-02-1938,01-07-1961,Direct Recruitment,Male,Gujarat,Gujarati,English Hindi,FALSE,Superannuated,Supremo
MP014100,Shri Sr Sathyam,Indian Administrative Services,Madhya Pradesh ,1961,05-02-1939,01-07-1961,Direct Recruitment,Male,Madhya Pradesh,Tamil,English French Hindi,FALSE,Superannuated,Supremo
MP014400,Shri Surajpal Singh,Indian Administrative Services,Madhya Pradesh ,1961,06-01-1932,01-07-1961,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,FALSE,Superannuated,Supremo
MT001500,Shri B R Basu,Indian Administrative Services,Manipur-Tripura ,1961,08-01-1938,01-07-1961,Direct Recruitment,Male,West Bengal,Bengali,Arabic English Hindi Spanish,FALSE,Superannuated,Supremo
NL000800,Shri N Jakhalu,Indian Administrative Services,Nagaland ,1961,01-10-1929,01-07-1961,Initial Constitution,Male,Nagaland,N.A.,Assamese English Hindi,FALSE,Superannuated,Supremo
OR009800,Shri Un Mallik,Indian Administrative Services,Odisha ,1961,05-06-1933,01-07-1961,Direct Recruitment,Male,Odisha,Oriya,Bengali English Hindi,FALSE,Superannuated,Supremo
PB004800,Shri Tejendra Khanna,Indian Administrative Services,Punjab ,1961,16-12-1938,01-07-1961,Direct Recruitment,Male,Punjab,Punjabi,English French Hindi Urdu,FALSE,Superannuated,Supremo
PB005000,Shri Gk Balakrishnan,Indian Administrative Services,Punjab ,1961,22-09-1938,01-07-1961,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi Punjabi,FALSE,Superannuated,Supremo
RJ010600,Shri Satish Kumar,Indian Administrative Services,Rajasthan ,1961,18-01-1937,01-07-1961,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Urdu,FALSE,Superannuated,Supremo
RJ010700,Shri Bk Zutshi,Indian Administrative Services,Rajasthan ,1961,27-01-1938,01-07-1961,Direct Recruitment,Male,Jammu & Kashmir,Kashmiri,English Hindi Urdu,FALSE,Superannuated,Supremo
RJ010800,Shri As Mehta,Indian Administrative Services,Rajasthan ,1961,11-08-1938,01-07-1961,Direct Recruitment,Male,Rajasthan,Hindi,English,FALSE,Retired voluntarily,Supremo
RJ011100,Shri Ig Jhingran,Indian Administrative Services,Rajasthan ,1961,01-01-1937,01-07-1961,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,FALSE,Superannuated,Supremo
AM006900,Shri A Bhattacharya,Indian Administrative Services,Assam Meghalya ,1962,29-10-1938,01-07-1962,Direct Recruitment,Male,Assam,Bengali,English French Mizo Spanish,FALSE,Superannuated,Supremo
AM007100,Shri Cd Tripathi,Indian Administrative Services,Assam Meghalya ,1962,10-07-1939,01-07-1962,Direct Recruitment,Male,Uttar Pradesh,Hindi,Assamese Bengali Sanskrit Urdu,FALSE,Retired voluntarily,Supremo
AM007300,Shri T Cajee,Indian Administrative Services,Assam Meghalya ,1962,10-01-1935,01-07-1962,Direct Recruitment,Male,Assam,N.A.,English,FALSE,Retired after Extension/Re-Employment,Supremo
AM007400,Shri T Aonok,Indian Administrative Services,Assam Meghalya ,1962,07-04-1934,01-07-1962,Direct Recruitment,Male,Meghalaya,N.A.,Assamese Bengali English Hindi,FALSE,Expired,Supremo
AP012600,Shri Bn Yugandhar,Indian Administrative Services,Andhra Pradesh ,1962,22-10-1937,01-07-1962,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi,FALSE,Retired after Extension/Re-Employment,Supremo
AP012700,Shri Bv Ramarao,Indian Administrative Services,Andhra Pradesh ,1962,21-09-1939,01-07-1962,Direct Recruitment,Male,N.A.,Telugu,English,FALSE,Superannuated,Supremo
AP012800,Shri Mvs Prasad Rau,Indian Administrative Services,Andhra Pradesh ,1962,28-08-1938,01-07-1962,Direct Recruitment,Male,Andhra Pradesh,Telugu,French German Spanish Tamil,FALSE,Superannuated,Supremo
AP012900,Dr. M S Rajajee,Indian Administrative Services,Andhra Pradesh ,1962,15-06-1939,01-07-1962,Direct Recruitment,Male,N.A.,Tamil,English Hindi Telugu,FALSE,Superannuated,Supremo
AP013000,Shri V Chandramowli,Indian Administrative Services,Andhra Pradesh ,1962,17-11-1937,01-07-1962,Direct Recruitment,Male,Andhra Pradesh,Tamil,English Hindi Sanskrit Telugu,FALSE,Superannuated,Supremo
AP013100,Shri Kr Venugopal,Indian Administrative Services,Andhra Pradesh ,1962,16-09-1937,01-07-1962,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Kannada Tamil,FALSE,Retired voluntarily,Supremo
AP013300,Shri Nk Suroya,Indian Administrative Services,Andhra Pradesh ,1962,15-06-1940,01-07-1962,Direct Recruitment,Male,Delhi,Hindi,English,FALSE,Superannuated,Supremo
BH015300,Shri Anwarul Hoda,Indian Administrative Services,Bihar ,1962,18-11-1938,01-07-1962,Direct Recruitment,Male,Bihar,Urdu,English Hindi,FALSE,Superannuated,Supremo
BH015500,Shri R N Dash,Indian Administrative Services,Bihar ,1962,13-06-1938,01-07-1962,Direct Recruitment,Male,Odisha,Oriya,Bengali English Hindi,FALSE,Superannuated,Supremo
BH015700,Shri B K Singh,Indian Administrative Services,Bihar ,1962,10-08-1937,01-07-1962,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Sanskrit,FALSE,Retired voluntarily,Supremo
BH015800,Shri B P Verma,Indian Administrative Services,Bihar ,1962,14-08-1939,01-07-1962,Direct Recruitment,Male,Bihar,Hindi,Bengali English,FALSE,Retired after Extension/Re-Employment,Supremo
BH015900,Shri Vishram Prasad,Indian Administrative Services,Bihar ,1962,01-01-1933,01-07-1962,Direct Recruitment,Male,Bihar,Hindi,English Urdu,FALSE,Superannuated,Supremo
BH016000,Shri Mohinder Singh,Indian Administrative Services,Bihar ,1962,03-10-1936,01-07-1962,Direct Recruitment,Male,Punjab,Punjabi,English Hindi Urdu,FALSE,Superannuated,Supremo
GJ008300,Shri K G Ramanathan,Indian Administrative Services,Gujarat ,1962,15-05-1939,01-07-1962,Direct Recruitment,Male,Tamil Nadu,Tamil,English French Gujarati Hindi,FALSE,Retired voluntarily,Supremo
GJ008400,Dr. G Sundaram,Indian Administrative Services,Gujarat ,1962,07-10-1938,01-07-1962,Direct Recruitment,Male,Tamil Nadu,Tamil,English French Gujarati Hindi,FALSE,Superannuated,Supremo
GJ008600,Shri K A Varadan,Indian Administrative Services,Gujarat ,1962,12-12-1937,01-07-1962,Direct Recruitment,Male,Tamil Nadu,Tamil,English Gujarati Hindi,FALSE,Superannuated,Supremo
GJ008700,Shri Cb Giridhar,Indian Administrative Services,Gujarat ,1962,21-05-1938,01-07-1962,Direct Recruitment,Male,Tamil Nadu,Marathi,English Gujarati Hindi Tamil,FALSE,Superannuated,Supremo
GJ008800,Shri Arun Sinha,Indian Administrative Services,Gujarat ,1962,19-05-1939,01-07-1962,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Gujarati,FALSE,Superannuated,Supremo
GJ008900,Shri Niranjan Singh,Indian Administrative Services,Gujarat ,1962,11-09-1932,01-07-1962,Direct Recruitment,Male,Punjab,Punjabi,English Gujarati Hindi Urdu,FALSE,Superannuated,Supremo
GJ009000,Shri C R Samajpati,Indian Administrative Services,Gujarat ,1962,01-01-1938,01-07-1962,Direct Recruitment,Male,West Bengal,Bengali,English Gujarati,FALSE,Superannuated,Supremo
HP002200,Shri Ms Mukherjee,Indian Administrative Services,Himachal Pradesh ,1962,11-01-1936,01-07-1962,Direct Recruitment,Male,West Bengal,Bengali,English German Sanskrit,FALSE,Retired voluntarily,Supremo
HP002300,Shri S Kumar Chauhan,Indian Administrative Services,Himachal Pradesh ,1962,20-11-1937,01-07-1962,Direct Recruitment,Male,Maharashtra,Hindi,English Urdu,FALSE,Superannuated,Supremo
HP002400,Shri Sm Kanwar,Indian Administrative Services,Himachal Pradesh ,1962,09-07-1937,01-07-1962,Direct Recruitment,Male,Himachal Pradesh,Hindi,English Urdu,FALSE,Superannuated,Supremo
HP002500,Shri Attar Singh,Indian Administrative Services,Himachal Pradesh ,1962,04-03-1937,01-07-1962,Direct Recruitment,Male,Delhi,Hindi,English,FALSE,Superannuated,Supremo
HY004800,Shri Hd Bansal,Indian Administrative Services,Haryana ,1962,17-02-1939,01-07-1962,Direct Recruitment,Male,West Bengal,Hindi,English German,FALSE,Superannuated,Supremo
HY005000,Shri Kk Sharma,Indian Administrative Services,Haryana ,1962,18-08-1938,01-07-1962,Direct Recruitment,Male,Delhi,Punjabi,English Hindi,FALSE,Superannuated,Supremo
JK001400,Shri Mp Khosla,Indian Administrative Services,Jammu & Kashmir ,1962,11-03-1935,01-07-1962,Direct Recruitment,Male,Punjab,Hindi,English Punjabi Urdu,FALSE,Superannuated,Supremo
JK001500,Shri Cb Budgujar,Indian Administrative Services,Jammu & Kashmir ,1962,08-02-1933,01-07-1962,Direct Recruitment,Male,Haryana,Hindi,Kashmiri Punjabi Urdu,FALSE,Superannuated,Supremo
KL005800,Shri Cp Nair,Indian Administrative Services,Kerala ,1962,25-04-1940,01-07-1962,Direct Recruitment,Male,Kerala,Malayalam,English Hindi Sanskrit,FALSE,Retired after Extension/Re-Employment,Supremo
KL005900,Shri R Narayanan,Indian Administrative Services,Kerala ,1962,07-01-1938,01-07-1962,Direct Recruitment,Male,Tamil Nadu,Malayalam,English French Hindi,FALSE,Superannuated,Supremo
KL006000,Shri Js Badhan,Indian Administrative Services,Kerala ,1962,20-04-1934,01-07-1962,Direct Recruitment,Male,Punjab,Punjabi,English Hindi Malayalam Urdu,FALSE,Superannuated,Supremo
KN007500,Shri Sb Muddappa,Indian Administrative Services,Karnataka ,1962,14-12-1937,01-07-1962,Direct Recruitment,Male,Karnataka,Kannada,English Hindi Sanskrit,FALSE,Superannuated,Supremo
KN007600,Shri C Noronha,Indian Administrative Services,Karnataka ,1962,22-08-1938,01-07-1962,Direct Recruitment,Male,Karnataka,Kannada,N.A.,FALSE,Superannuated,Supremo
KN007700,Shri Mc Das,Indian Administrative Services,Karnataka ,1962,19-06-1937,01-07-1962,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi Kannada,FALSE,Expired,Supremo
AM007200,Shri Rv Pillai,Indian Administrative Services,Assam Meghalya ,1962,30-06-1938,01-07-1962,Direct Recruitment,Male,Kerala,Malayalam,Assamese Bengali English Hindi,FALSE,Retired after Extension/Re-Employment,Supremo
AP013200,Shri K Madhava Rao,Indian Administrative Services,Andhra Pradesh ,1962,26-10-1939,01-07-1962,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi,FALSE,Retired after Extension/Re-Employment,Supremo
AP013301,Shri M Gopalakrishna,Indian Administrative Services,Andhra Pradesh ,1962,12-01-1939,01-07-1962,Direct Recruitment,Male,Andhra Pradesh,Telugu,Assamese Bengali English Hindi,FALSE,Retired after Extension/Re-Employment,Supremo
BH015400,Shri R K Sinha,Indian Administrative Services,Bihar ,1962,07-11-1938,01-07-1962,Direct Recruitment,Male,Bihar,Hindi,English French,FALSE,Retired after Extension/Re-Employment,Supremo
MH013500,Shri P Abraham,Indian Administrative Services,Maharashtra ,1962,01-07-1939,01-07-1962,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi Marathi,FALSE,Retired after Extension/Re-Employment,Supremo
MP014700,Shri Mr Sivaraman,Indian Administrative Services,Madhya Pradesh ,1962,31-03-1940,01-07-1962,Direct Recruitment,Male,Tamil Nadu,Tamil,English Malayalam,FALSE,Retired after Extension/Re-Employment,Supremo
MP015200,Shri Rv Gupta,Indian Administrative Services,Madhya Pradesh ,1962,19-11-1937,01-07-1962,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Hindi,FALSE,Retired after Extension/Re-Employment,Supremo
OR009900,Shri Pc Hota,Indian Administrative Services,Odisha ,1962,09-09-1938,01-07-1962,Direct Recruitment,Male,Odisha,Oriya,Bengali English Hindi,FALSE,Retired after Extension/Re-Employment,Supremo
UT002900,Shri Rk Ahuja,Indian Administrative Services,A G M U T ,1962,28-02-1938,01-07-1962,Direct Recruitment,Male,Haryana,Hindi,English Punjabi Urdu,FALSE,Retired after Extension/Re-Employment,Supremo
MH012800,Shri D K Afzulpurkar,Indian Administrative Services,Maharashtra ,1962,20-08-1938,01-07-1962,Direct Recruitment,Male,Andhra Pradesh,Hindi,English Marathi,FALSE,Retired after Extension/Re-Employment,Supremo
MH013000,Shri Sp Upasani,Indian Administrative Services,Maharashtra ,1962,01-10-1938,01-07-1962,Direct Recruitment,Male,Maharashtra,Marathi,English Gujarati Hindi,FALSE,Superannuated,Supremo
MH013100,Shri Vs Gopalkrishn,Indian Administrative Services,Maharashtra ,1962,17-10-1939,01-07-1962,Direct Recruitment,Male,Tamil Nadu,Tamil,French German Italian Marathi,FALSE,Retired voluntarily,Supremo
MH013200,Shri P Subrahmanyam,Indian Administrative Services,Maharashtra ,1962,15-07-1940,01-07-1962,Direct Recruitment,Male,Tamil Nadu,Telugu,English Hindi Marathi Tamil,FALSE,Superannuated,Supremo
MH013300,Shri Ck Modi,Indian Administrative Services,Maharashtra ,1962,18-08-1938,01-07-1962,Direct Recruitment,Male,Odisha,Hindi,English Marathi Oriya,FALSE,Superannuated,Supremo
MH013400,Shri Rc Sinha,Indian Administrative Services,Maharashtra ,1962,27-05-1938,01-07-1962,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Marathi,FALSE,Superannuated,Supremo
MH013600,Shri Rl Pardeep,Indian Administrative Services,Maharashtra ,1962,30-09-1934,01-07-1962,Direct Recruitment,Male,Punjab,Punjabi,English Hindi Marathi Urdu,FALSE,Superannuated,Supremo
MH013700,Shri Anil Kumar,Indian Administrative Services,Maharashtra ,1962,15-12-1935,01-07-1962,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Marathi Urdu,FALSE,Superannuated,Supremo
MP014500,Ms. Mv Garde,Indian Administrative Services,Madhya Pradesh ,1962,23-03-1939,01-07-1962,Direct Recruitment,Female,Maharashtra,Marathi,English French Hindi,FALSE,Superannuated,Supremo
MP014800,Shri Vk Shunglu,Indian Administrative Services,Madhya Pradesh ,1962,21-07-1939,01-07-1962,Direct Recruitment,Male,Delhi,Hindi,English Gujarati,FALSE,Superannuated,Supremo
MP014900,Shri Ak Chandra,Indian Administrative Services,Madhya Pradesh ,1962,26-02-1939,01-07-1962,Direct Recruitment,Male,Uttar Pradesh,Hindi,English German,FALSE,Retired voluntarily,Supremo
MP015000,Shri Nr Krishnan,Indian Administrative Services,Madhya Pradesh ,1962,20-06-1938,01-07-1962,Direct Recruitment,Male,N.A.,Tamil,English Hindi Tamil,FALSE,Superannuated,Supremo
MP015100,Shri Samar Singh,Indian Administrative Services,Madhya Pradesh ,1962,21-06-1940,01-07-1962,Direct Recruitment,Male,Rajasthan,Hindi,English French Hindi,FALSE,Superannuated,Supremo
MP015300,Shri Op Mehra,Indian Administrative Services,Madhya Pradesh ,1962,16-12-1937,01-07-1962,Direct Recruitment,Male,Madhya Pradesh,Hindi,English Hindi,FALSE,Superannuated,Supremo
MP015400,Shri R Prasad,Indian Administrative Services,Madhya Pradesh ,1962,25-12-1934,01-07-1962,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Hindi Japanese,FALSE,Superannuated,Supremo
OR010000,Shri N Mohanty,Indian Administrative Services,Odisha ,1962,02-11-1939,01-07-1962,Direct Recruitment,Male,Odisha,Oriya,Bengali English Hindi,FALSE,Superannuated,Supremo
OR010100,Shri Mp Modi,Indian Administrative Services,Odisha ,1962,01-10-1939,01-07-1962,Direct Recruitment,Male,Odisha,Hindi,English Oriya,FALSE,Superannuated,Supremo
OR010200,Shri Sk Basu,Indian Administrative Services,Odisha ,1962,15-10-1937,01-07-1962,Direct Recruitment,Male,West Bengal,Bengali,English Hindi Oriya,FALSE,Superannuated,Supremo
OR010300,Dr. Dr F A Moses,Indian Administrative Services,Odisha ,1962,16-02-1938,01-07-1962,Direct Recruitment,Male,Tamil Nadu,Tamil,English Oriya,FALSE,Retired voluntarily,Supremo
OR010400,Shri Pk Dey,Indian Administrative Services,Odisha ,1962,05-04-1938,01-07-1962,Direct Recruitment,Male,West Bengal,Bengali,German Hindi Oriya Russian,FALSE,Superannuated,Supremo
OR010500,Shri Sr Vala,Indian Administrative Services,Odisha ,1962,09-01-1933,01-07-1962,Direct Recruitment,Male,Assam,N.A.,English Hindi Oriya,FALSE,Superannuated,Supremo
OR010600,Dr. Rk Nayak,Indian Administrative Services,Odisha ,1962,07-02-1939,01-07-1962,Direct Recruitment,Male,Odisha,Oriya,English Hindi,FALSE,Superannuated,Supremo
PB005300,Shri A S Pooni,Indian Administrative Services,Punjab ,1962,09-10-1937,01-07-1962,Direct Recruitment,Male,Punjab,Punjabi,English Hindi Urdu,FALSE,Superannuated,Supremo
PB005400,Shri A C Sen,Indian Administrative Services,Punjab ,1962,21-12-1938,01-07-1962,Direct Recruitment,Male,West Bengal,Bengali,English Hindi Punjabi Sanskrit,FALSE,Superannuated,Supremo
PB005500,Shri M M Singh,Indian Administrative Services,Punjab ,1962,16-09-1937,01-07-1962,Direct Recruitment,Male,Punjab,Punjabi,English Hindi Urdu,FALSE,Superannuated,Supremo
PB005600,Shri Hardial Singh,Indian Administrative Services,Punjab ,1962,12-10-1936,01-07-1962,Direct Recruitment,Male,Punjab,Punjabi,English Hindi Urdu,FALSE,Superannuated,Supremo
PB005700,Shri Hari Ram,Indian Administrative Services,Punjab ,1962,04-04-1936,01-07-1962,Direct Recruitment,Male,Punjab,Punjabi,English Hindi Urdu,FALSE,Superannuated,Supremo
RJ011200,Shri Rs Kumat,Indian Administrative Services,Rajasthan ,1962,01-12-1937,01-07-1962,Direct Recruitment,Male,Rajasthan,Hindi,English,FALSE,Superannuated,Supremo
RJ011300,Shri Kk Bhatnagar,Indian Administrative Services,Rajasthan ,1962,21-10-1938,01-07-1962,Direct Recruitment,Male,Rajasthan,Hindi,English French,FALSE,Retired voluntarily,Supremo
RJ011400,Shri Mahendra Singh,Indian Administrative Services,Rajasthan ,1962,02-07-1938,01-07-1962,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,FALSE,Retired voluntarily,Supremo
AM007500,Shri Bhaskar Barua,Indian Administrative Services,Assam Meghalya ,1963,27-02-1941,01-07-1963,Direct Recruitment,Male,Assam,Assamese,Bengali English Hindi Spanish,FALSE,Retired voluntarily,Supremo
AM007600,Shri Kk Sinha,Indian Administrative Services,Assam Meghalya ,1963,02-01-1940,01-07-1963,Direct Recruitment,Male,Bihar,Hindi,Assamese Bengali English French,FALSE,Superannuated,Supremo
AM007700,Shri Ks Rao,Indian Administrative Services,Assam Meghalya ,1963,11-12-1940,01-07-1963,Direct Recruitment,Male,Tamil Nadu,Kannada,Assamese Bengali Hindi Tamil,FALSE,Retired voluntarily,Supremo
AM007800,Dr. Dr J K Bagchi,Indian Administrative Services,Assam Meghalya ,1963,14-07-1939,01-07-1963,Direct Recruitment,Male,West Bengal,Bengali,Assamese English Hindi Sanskrit,FALSE,Superannuated,Supremo
AM007900,Shri Jm Phira,Indian Administrative Services,Assam Meghalya ,1963,01-03-1935,01-07-1963,Direct Recruitment,Male,Assam,N.A.,Assamese English Hindi,FALSE,Superannuated,Supremo
AP013400,Shri T R Prasad,Indian Administrative Services,Andhra Pradesh ,1963,15-07-1941,01-07-1963,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi,FALSE,Retired after Extension/Re-Employment,Supremo
AP013500,Shri Rkr Gonela,Indian Administrative Services,Andhra Pradesh ,1963,01-04-1939,01-07-1963,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi,FALSE,Superannuated,Supremo
AP013600,Shri Sr Govindarajan,Indian Administrative Services,Andhra Pradesh ,1963,20-07-1939,01-07-1963,Direct Recruitment,Male,Tamil Nadu,Tamil,English Hindi Telugu,FALSE,Retired voluntarily,Supremo
