ID,Name,Service,Cadre,Reference_Value,Designation,Level,Office,Organisation,Field_of_Experience,Category_of_Experience,Start_Date,End_Date,Source
KN004600,Shri Pr Dubhashi,Indian Administrative Service,Karnataka,13,Director,Deputy Secretary Equivalent,M/o Agriculture,Centre,Rural Development,Rural Dev,01/07/1962,01/09/1962,Supremo
KN004600,Shri Pr Dubhashi,Indian Administrative Service,Karnataka,14,Deputy Dev Commissioner,Under Secretary,,Cadre (AIS),Development Admn,Land Revenue Mgmt & District Admn,01/08/1959,01/07/1962,Supremo
KN004600,Shri Pr Dubhashi,Indian Administrative Service,Karnataka,15,District Collector,Under Secretary,Raichur,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/02/1958,01/08/1959,Supremo
KN004600,Shri Pr Dubhashi,Indian Administrative Service,Karnataka,16,Assistant Collector,Junior Scale,,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,01/04/1955,01/02/1958,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,0,N.A.,Secretary Equivalent,O/o Comptroller & Auditor General (CAG),Centre,Expenditure,Finance,01/04/1990,10/03/1996,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,1,Cen Vig Commissioner,Secretary Equivalent,D/o Personnel & Trg,Centre,Personnel and General Administration,Personnel and General Administration,01/10/1988,01/03/1990,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,2,Secretary,Secretary,M/o Home Affairs,Centre,Home,Home,01/07/1986,01/10/1988,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,3,Spl Secy,Secretary,M/o Home Affairs,Centre,Home,Home,01/06/1986,01/06/1986,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,4,Secretary,Secretary,Planning Commission,Centre,Planning,Planning & Prog Implementation,01/05/1985,01/06/1986,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,5,Spl Secy,Secretary,M/o Finance & Company Affairs,Centre,Company Affairs,Law and Justice,01/12/1983,01/05/1985,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,6,Additional Secy,Additional Secretary,M/o Finance & Company Affairs,Centre,Expenditure,Finance,01/03/1981,01/11/1983,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,7,Commissioner & Secy,Joint Secretary,,Cadre (AIS),Home,Home,01/11/1980,01/03/1981,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,8,Commissioner & Secy,Joint Secretary,,Cadre (AIS),Animal Husbandry,Agriculture & Cooperation,01/02/1980,01/11/1980,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,9,Commissioner & Secy,Joint Secretary,,Cadre (AIS),Forests,Environment & Forests,01/07/1978,01/02/1980,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,10,Commissioner & Secy,Joint Secretary,,Cadre (AIS),Fisheries,Agriculture & Cooperation,01/07/1978,01/02/1980,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,11,Jt Secy,Joint Secretary,M/o Home Affairs,Centre,Home,Home,01/03/1973,01/07/1978,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,12,Director,Director,"M/o Consumer Affairs, Food & Public Distribution",Centre,Public Distribution,"Consumer Affairs, Food & PD",01/06/1971,01/03/1973,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,13,Excise Commissioner,Director,,Cadre (AIS),Excise,Finance,01/05/1970,01/06/1971,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,14,Secretary,Director,,Cadre (AIS),Cooperatives,Agriculture & Cooperation,01/06/1967,01/05/1970,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,15,Director,Deputy Secretary,,Cadre (AIS),Industries,Industries,01/06/1966,01/06/1967,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,16,Commissioner,Deputy Secretary,,Cadre (AIS),Revenue,Finance,01/08/1965,01/06/1966,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,17,Secretary,Deputy Secretary,,Cadre (AIS),Finance,Finance,01/04/1964,01/08/1965,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,18,District Collector,Under Secretary,,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/12/1960,01/03/1963,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,19,Assistant F A,Under Secretary Equivalent,M/o Finance & Company Affairs,Centre,Finance,Finance,01/08/1957,01/12/1960,Supremo
OR004400,Shri Cg Somiah,Indian Administrative Service,Odisha,20,Assistant Collector,Junior Scale,,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,01/04/1955,01/08/1957,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,0,N.A.,Secretary Equivalent,Reserve Bank of India (RBI),Centre,Institutional Finance,Finance,01/12/1990,31/01/1991,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,1,N.A.,Secretary,,Cadre (AIS),Personnel Mgmt,Personnel and General Administration,01/05/1989,01/12/1990,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,2,Adviser,Secretary Equivalent,P M O,Centre,Finance,Finance,01/03/1989,01/05/1989,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,3,Secretary,Secretary,M/o Finance & Company Affairs,Centre,Finance,Finance,01/02/1985,01/03/1989,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,4,Secretary,Secretary,M/o Power,Centre,Power,Energy,01/10/1983,01/02/1985,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,5,N.A.,Secretary,,Cadre (AIS),Corporate Management (New),Corporate Management (New),01/02/1981,01/09/1983,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,6,Vice Chairperson,Additional Secretary,,Cadre (AIS),Corporate Management (New),Corporate Management (New),01/06/1977,01/02/1981,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,7,N.A.,Joint Secretary Equivalent,Centre - Foreign Assignment,Centre (Foreign Posting),Family Welfare,Health & Family Welfare,01/07/1975,01/06/1977,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,8,N.A.,Joint Secretary Equivalent,Centre - Foreign Assignment,Centre (Foreign Posting),General Administration,Personnel and General Administration,01/06/1974,01/07/1975,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,9,Spl Secy,Joint Secretary,,Cadre (AIS),Finance,Finance,01/05/1971,01/06/1974,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,10,Secretary,Director,,Cadre (AIS),Finance,Finance,01/03/1969,01/05/1971,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,11,Pvt Secy,Under Secretary Equivalent,,Centre,Industries,Industries,01/07/1968,01/03/1969,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,12,N.A.,Director,,Cadre (AIS),Industries,Industries,01/07/1968,01/03/1969,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,13,Deputy Secretary,Under Secretary,,Cadre (AIS),Finance,Finance,01/06/1958,01/03/1962,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,14,Under Secy,Junior Scale,,Cadre (AIS),Finance,Finance,01/12/1956,01/06/1958,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,15,Under Secy,Junior Scale,,Cadre (AIS),Public Distribution,"Consumer Affairs, Food & PD",01/03/1956,01/12/1956,Supremo
TN004100,Shri S Venkitaramnan,Indian Administrative Service,Tamil Nadu,16,Assistant Collector,Junior Scale,,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,01/07/1955,01/03/1956,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,0,N.A.,Secretary,,Cadre (AIS),Heavy Industries,Industries,01/08/1986,01/04/1988,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,1,Secretary,Additional Secretary,,Cadre (AIS),Industries,Industries,01/05/1985,01/08/1986,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,2,Additional Chief Secretary,Additional Secretary,,Cadre (AIS),General Administration,Personnel and General Administration,01/05/1985,30/04/1988,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,3,Secretary,Additional Secretary,,Cadre (AIS),Home,Home,01/02/1983,01/05/1985,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,4,Secretary,Joint Secretary,,Cadre (AIS),Industries,Industries,01/05/1982,01/02/1983,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,5,Secretary,Joint Secretary,,Cadre (AIS),Home,Home,01/09/1981,01/05/1982,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,6,Municipal Commissioner,Joint Secretary,,Cadre (AIS),Municipal Administration,Urban Development,01/05/1978,01/09/1981,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,7,Secretary,Joint Secretary,,Cadre (AIS),Personnel Mgmt,Personnel and General Administration,01/05/1977,01/05/1978,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,8,Secretary,Joint Secretary,,Cadre (AIS),Agriculture,Agriculture & Cooperation,01/03/1975,01/05/1977,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,9,Commissioner,Joint Secretary,,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/07/1972,01/03/1975,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,10,Municipal Commissioner,Joint Secretary,,Cadre (AIS),Municipal Administration,Urban Development,01/05/1971,01/07/1972,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,11,District Collector,Director,Pune,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/06/1968,01/05/1971,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,12,N.A.,Director,,Cadre (AIS),Cooperatives,Agriculture & Cooperation,01/04/1967,01/06/1968,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,13,Secretary,Deputy Secretary,,Cadre (AIS),Industries,Industries,01/02/1963,01/02/1967,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,14,C E O,Deputy Secretary,,Cadre (AIS),Development Admn,Land Revenue Mgmt & District Admn,01/05/1962,01/02/1963,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,15,District Collector,Under Secretary,Dhule,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/12/1960,01/03/1962,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,16,Under Secy,Under Secretary,D/o Atomic Energy,Centre,Atomic Energy,Energy,01/07/1958,01/12/1960,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,17,Under Secy,Junior Scale,,Cadre (AIS),Police,Home,01/07/1956,01/06/1958,Supremo
MH007900,Shri B K Chougule,Indian Administrative Service,Maharashtra,18,Assistant Collector,Junior Scale,,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,01/07/1955,01/07/1956,Supremo
MH008000,Shri V T Chari,Indian Administrative Service,Maharashtra,0,Additional Chief Secretary,Additional Secretary,,Cadre (AIS),General Administration,Personnel and General Administration,01/07/1986,01/07/1987,Supremo
MH008000,Shri V T Chari,Indian Administrative Service,Maharashtra,1,N.A.,Additional Secretary,,Cadre (AIS),Revenue,Finance,01/05/1985,01/07/1986,Supremo
MH008000,Shri V T Chari,Indian Administrative Service,Maharashtra,2,Secretary,Additional Secretary,,Cadre (AIS),Personnel Mgmt,Personnel and General Administration,01/01/1983,01/05/1985,Supremo
MH008000,Shri V T Chari,Indian Administrative Service,Maharashtra,3,Secretary,Joint Secretary,,Cadre (AIS),Public Distribution,"Consumer Affairs, Food & PD",01/08/1981,01/12/1982,Supremo
MH008000,Shri V T Chari,Indian Administrative Service,Maharashtra,4,Secretary,Joint Secretary,,Cadre (AIS),Labour & Employment,Labour & Employment,01/10/1980,01/08/1981,Supremo
MH008000,Shri V T Chari,Indian Administrative Service,Maharashtra,5,Vice Chairman & M D,Joint Secretary,,Cadre (AIS),Road Transport,Transport,01/12/1977,01/10/1980,Supremo
MH008000,Shri V T Chari,Indian Administrative Service,Maharashtra,6,Secretary,Joint Secretary,,Cadre (AIS),General Administration,Personnel and General Administration,01/10/1976,01/12/1977,Supremo
MH008000,Shri V T Chari,Indian Administrative Service,Maharashtra,7,Managing Director,Director,,Cadre (AIS),Finance,Finance,01/10/1972,01/10/1976,Supremo
MH008000,Shri V T Chari,Indian Administrative Service,Maharashtra,8,Director,Deputy Secretary,,Cadre (AIS),Commerce,Commerce,01/01/1966,01/10/1972,Supremo
MH008000,Shri V T Chari,Indian Administrative Service,Maharashtra,9,Deputy Secretary,Deputy Secretary,,Cadre (AIS),Finance,Finance,01/02/1964,01/01/1966,Supremo
MH008000,Shri V T Chari,Indian Administrative Service,Maharashtra,10,District Collector,Deputy Secretary,Parbhani,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/10/1962,01/02/1964,Supremo
MH008000,Shri V T Chari,Indian Administrative Service,Maharashtra,11,Under Secy,Under Secretary,M/o Urb Dev & Poverty Alleviation,Centre,Public Works,Public Works,01/08/1959,01/10/1962,Supremo
MH008000,Shri V T Chari,Indian Administrative Service,Maharashtra,12,Under Secy,Under Secretary,,Cadre (AIS),Public Distribution,"Consumer Affairs, Food & PD",01/01/1958,01/08/1969,Supremo
MH008000,Shri V T Chari,Indian Administrative Service,Maharashtra,13,Assistant Collector,Junior Scale,,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,01/05/1956,01/01/1958,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,0,N.A.,Secretary,,Cadre (AIS),Recruitment Bd,Service Commn,01/06/1987,30/06/1987,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,1,N.A.,Secretary,,Cadre (AIS),Expenditure,Finance,01/03/1984,01/06/1987,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,2,Additional Chief Secretary,Secretary,,Cadre (AIS),Labour,Labour & Employment,01/02/1984,01/03/1984,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,3,OSD to Minister,Secretary,,Cadre (AIS),General Administration,Personnel and General Administration,01/02/1984,01/03/1984,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,4,N.A.,Secretary,,Cadre (AIS),Personnel Mgmt,Personnel and General Administration,01/09/1983,01/02/1984,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,5,N.A.,Additional Secretary Equivalent,M/o Home Affairs,Centre,General Administration,Personnel and General Administration,01/09/1979,01/12/1982,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,6,Jt Secy,Joint Secretary,M/o Defence,Centre,Defence,Defence,01/10/1977,01/09/1979,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,7,Jt Secy,Joint Secretary,M/o Agriculture,Centre,Agriculture,Agriculture & Cooperation,01/09/1976,01/10/1977,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,8,Jt Secy,Joint Secretary,M/o Rural Dev,Centre,Rural Development,Rural Dev,01/06/1976,01/09/1976,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,9,Commissioner,Joint Secretary,,Cadre (AIS),Divisional Admn,Land Revenue Mgmt & District Admn,01/05/1974,01/06/1976,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,10,Director,Joint Secretary,,Cadre (AIS),Revenue Admn,Land Revenue Mgmt & District Admn,01/10/1973,01/05/1974,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,11,Commissioner,Joint Secretary,,Cadre (AIS),Settlement,Land Revenue Mgmt & District Admn,01/10/1972,01/10/1973,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,12,Director,Director,D/o Rehabilitation,Centre,Rehabilitation,Home,01/08/1970,01/10/1972,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,13,Deputy Secretary,Deputy Secretary,D/o Rehabilitation,Centre,Rehabilitation,Home,01/05/1968,01/08/1970,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,14,District Collector,Deputy Secretary,Sehore,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/06/1967,01/05/1968,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,15,District Collector,Deputy Secretary,Bilaspur (CG),Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/07/1966,01/06/1967,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,16,Deputy Secretary,Deputy Secretary,,Cadre (AIS),Finance,Finance,01/04/1964,01/05/1966,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,17,District Collector,Under Secretary,Rewa,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/05/1961,01/04/1964,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,18,District Collector,Under Secretary,Mandla,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/06/1958,01/05/1961,Supremo
MP007400,Shri Sl Sharma,Indian Administrative Service,Madhya Pradesh,19,Assistant Collector,Junior Scale,,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,01/08/1955,01/05/1958,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,0,Chairman,Secretary,,Cadre (AIS),Recruitment Bd,Service Commn,01/08/1987,31/10/1988,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,1,Chief Secy,Secretary,,Cadre (AIS),General Administration,Personnel and General Administration,01/01/1986,01/08/1987,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,2,Additional Chief Secretary,Additional Secretary,,Cadre (AIS),General Administration,Personnel and General Administration,01/04/1983,01/08/1980,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,3,Commissioner & Secy,Additional Secretary,,Cadre (AIS),Industries,Industries,01/04/1983,01/01/1986,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,4,N.A.,Additional Secretary,,Cadre (AIS),General Administration,Personnel and General Administration,01/03/1983,01/04/1983,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,5,Additional Chief Secretary,Additional Secretary,,Cadre (AIS),General Administration,Personnel and General Administration,01/07/1982,01/03/1983,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,6,Commissioner & Secy,Additional Secretary,,Cadre (AIS),Industries,Industries,01/11/1981,01/07/1982,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,7,Chairman,Additional Secretary,,Cadre (AIS),Industries,Industries,01/11/1981,01/07/1982,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,8,Commissioner & Secy,Joint Secretary,,Cadre (AIS),Industries,Industries,01/06/1980,01/11/1981,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,9,Commissioner & Secy,Joint Secretary,,Cadre (AIS),Mines,Mines & Minerals,01/06/1980,01/11/1981,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,10,Commissioner,Joint Secretary,,Cadre (AIS),Revenue,Finance,01/08/1977,01/06/1980,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,11,N.A.,Joint Secretary,,Cadre (AIS),Revenue Admn,Land Revenue Mgmt & District Admn,01/12/1976,01/08/1977,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,12,Commissioner,Joint Secretary,,Cadre (AIS),Revenue Admn,Land Revenue Mgmt & District Admn,01/11/1975,01/12/1976,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,13,N.A.,Joint Secretary,,Cadre (AIS),Revenue Admn,Land Revenue Mgmt & District Admn,01/01/1973,01/11/1975,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,14,N.A.,Director Equivalent,Rourkela Steel Plant,Centre (PSU),Personnel Mgmt,Personnel and General Administration,01/05/1968,01/01/1973,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,15,Additional Secy,Deputy Secretary,,Cadre (AIS),Irrigation,Water Resources,01/11/1965,01/02/1968,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,16,Director,Deputy Secretary,,Cadre (AIS),Industries,Industries,01/01/1965,01/11/1965,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,17,Registrar,Deputy Secretary,,Cadre (AIS),Cooperatives,Agriculture & Cooperation,01/10/1963,01/01/1965,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,18,Deputy Secretary,Deputy Secretary,M/o Home Affairs,Centre,Home,Home,01/06/1962,01/10/1963,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,19,Director,Under Secretary,,Cadre (AIS),Industries,Industries,01/10/1959,01/06/1962,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,20,District Collector,Under Secretary,Puri,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/05/1958,01/10/1959,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,21,Deputy Director,Under Secretary,,Cadre (AIS),Panchayati Raj,Local Self Govt,01/04/1957,01/05/1958,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,22,Under Secy,Junior Scale,,Cadre (AIS),Revenue,Finance,01/09/1956,01/04/1957,Supremo
OR004500,Shri Li Parija,Indian Administrative Service,Odisha,23,Assistant Collector,Junior Scale,,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,01/04/1955,01/09/1956,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,0,N.A.,Secretary,,Cadre (AIS),Heavy Industries,Industries,01/02/1988,01/04/1989,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,1,Chairman & M D,Secretary,,Cadre (AIS),Corporate Management (New),Corporate Management (New),01/12/1985,01/02/1988,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,2,N.A.,Secretary,,Cadre (AIS),Urban Develoment,Urban Development,01/09/1983,01/12/1985,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,3,Additional Secy,Additional Secretary,M/o Health & Family Welfare,Centre,Health & Family Welfare,Health & Family Welfare,01/08/1980,01/08/1983,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,4,Jt Secy,Joint Secretary,M/o Chemicals & Fertilizers,Centre,Heavy Industries,Industries,01/07/1979,01/08/1980,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,5,N.A.,Joint Secretary Equivalent,M/o Chemicals & Fertilizers,Centre,Health & Family Welfare,Health & Family Welfare,01/06/1978,01/07/1979,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,6,Commissioner & Secy,Joint Secretary,,Cadre (AIS),Urban Develoment,Urban Development,01/08/1976,01/06/1978,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,7,Spl Secy,Joint Secretary,,Cadre (AIS),Revenue,Finance,01/01/1975,01/08/1976,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,8,Spl Secy,Joint Secretary,,Cadre (AIS),Welfare,Social Justice & Empowerment,01/11/1973,01/12/1974,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,9,N.A.,Joint Secretary,,Cadre (AIS),Corporate Management (New),Corporate Management (New),01/11/1972,01/11/1973,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,10,Member Secy,Director,,Cadre (AIS),Administrative Reforms,Personnel and General Administration,01/06/1971,01/11/1972,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,11,N.A.,Director Equivalent,M/o Steel,Centre (PSU),Heavy Industries,Industries,01/01/1970,01/06/1971,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,12,Secretary,Deputy Secretary Equivalent,M/o Steel,Centre (PSU),Heavy Industries,Industries,01/05/1968,01/01/1970,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,13,Deputy Secretary,Deputy Secretary,M/o Steel,Centre,Heavy Industries,Industries,01/07/1963,01/05/1968,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,14,Deputy Secretary,Under Secretary,,Cadre (AIS),Industries,Industries,01/04/1959,01/02/1963,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,15,Under Secy,Junior Scale,,Cadre (AIS),General Administration,Personnel and General Administration,01/06/1957,01/04/1959,Supremo
TN004600,Shri Cvs Mani,Indian Administrative Service,Tamil Nadu,16,Assistant Collector,Junior Scale,,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,01/07/1956,01/05/1957,Supremo
AP005900,Shri Gr Nair,Indian Administrative Service,Andhra Pradesh,0,Chief Secy,Secretary,,Cadre (AIS),General Administration,Personnel and General Administration,01/08/1988,01/05/1990,Supremo
AP005900,Shri Gr Nair,Indian Administrative Service,Andhra Pradesh,1,Chief Electoral Officer,Additional Secretary,,Cadre (AIS),Elections,Law and Justice,01/06/1986,01/07/1988,Supremo
AP005900,Shri Gr Nair,Indian Administrative Service,Andhra Pradesh,2,Principal Secy,Additional Secretary,,Cadre (AIS),Revenue,Finance,01/10/1984,01/06/1986,Supremo
AP005900,Shri Gr Nair,Indian Administrative Service,Andhra Pradesh,3,Commissioner,Additional Secretary,,Cadre (AIS),Revenue,Finance,01/04/1983,01/10/1984,Supremo
AP005900,Shri Gr Nair,Indian Administrative Service,Andhra Pradesh,4,Commissioner,Additional Secretary,,Cadre (AIS),Land Reforms,Land Revenue Mgmt & District Admn,01/10/1982,01/04/1983,Supremo
AP005900,Shri Gr Nair,Indian Administrative Service,Andhra Pradesh,5,N.A.,Additional Secretary,,Cadre (AIS),Corporate Management (New),Corporate Management (New),01/08/1981,01/10/1982,Supremo
AP005900,Shri Gr Nair,Indian Administrative Service,Andhra Pradesh,6,Secretary,Joint Secretary,,Cadre (AIS),Labour,Labour & Employment,01/09/1979,01/08/1981,Supremo
AP005900,Shri Gr Nair,Indian Administrative Service,Andhra Pradesh,7,Secretary,Joint Secretary,,Cadre (AIS),Technical Education,Human Resource Dev,01/09/1979,01/08/1981,Supremo
AP005900,Shri Gr Nair,Indian Administrative Service,Andhra Pradesh,8,Secretary,Joint Secretary,,Cadre (AIS),Transport,Transport,01/10/1975,01/09/1979,Supremo
AP005900,Shri Gr Nair,Indian Administrative Service,Andhra Pradesh,9,Secretary,Joint Secretary,,Cadre (AIS),Public Works,Public Works,01/10/1975,01/09/1979,Supremo
AP005900,Shri Gr Nair,Indian Administrative Service,Andhra Pradesh,10,Managing Director,Joint Secretary,,Cadre (AIS),Corporate Management (New),Corporate Management (New),01/02/1973,01/10/1975,Supremo
