Item,Count
Constl.law|Economics|Economics-----Land Revenue Mgmt & District Admn,2
English Lit|Economics-----Commerce,2
Geology|Geology|Energy Planning|Political Sc.-----Finance,2
Physics|Law|Business Admn.-----Home,2
Economics|Philosophy|Philosophy-----Finance,2
Petroleum Engg-----N.Applicable,2
Chemistry|Law|Chemistry-----Health & Family Welfare,2
Sociology|Law-----Land Revenue Mgmt & District Admn,2
History|Law|Law-----Health & Family Welfare,2
Hindi English Math NaturalScience SSc Sanskrit Eco|Hindi English Math Physics Chemistry|Economics|Economics|History|History|Procurement-----Land Revenue Mgmt & District Admn,2
History|Law|Law-----Urban Development,2
History|Law|Law-----Social Justice & Empowerment,2
French|Philosophy|German-----Land Revenue Mgmt & District Admn,2
French|Philosophy|German-----Industries,2
Medicine|Paediatrics-----Urban Development,2
Agriculture|Agronomy-----Staff Officers,2
Computer Sc-----Commerce,2
Finance|English|Mathematics-----Finance,2
Sociology|N.A.|N.A.|Sociology-----,2
History|Law-----Information & Broadcasting,2
Physics|Agrl.Economics|Public Admn-----Land Revenue Mgmt & District Admn,2
Commerce|Political Sc.-----Land Revenue Mgmt & District Admn,2
Economics|Economics|Macro Eco Policy & Plg|Management-----Personnel and General Administration,2
Medicine|Economics-----Transport,2
Agriculture|Agri. Entomology-----Land Revenue Mgmt & District Admn,2
English|Economics-----Information & Broadcasting,2
English Lit|Anthropology-----Corporate Management (New),2
English|History|Political Sc.-----Urban Development,2
English|English|English-----Home,2
Law|Physics|Chemistry|Chemistry-----Personnel and General Administration,2
Law|Physics|Chemistry|Chemistry-----Human Resource Dev,2
Public Admn|Civil Engg|Social Sciences|Economics-----N.Applicable,2
Economics|Econometrics|Economics-----Finance,2
English|Philosophy|Economics-----Land Revenue Mgmt & District Admn,2
Sociology|Mathematics-----Land Revenue Mgmt & District Admn,2
Electronics|Computer Sc|Economics-----Finance,2
Electronics|Computer Sc|Economics-----Communications & Information Technology,2
English Lit|Anthropology-----Finance,2
Electronics|Computer Sc|Economics-----Petroleum & Natural Gas,2
English|English Lit-----Mines & Minerals,2
Mech.engg.|Business Admn.|Human Res.mgt-----Land Revenue Mgmt & District Admn,2
English|History|Political Sc.-----Staff Officers,2
Economics|Agrl.Economics-----Finance,2
Public Admn|Civil Engg|Social Sciences|Economics-----Land Revenue Mgmt & District Admn,2
Chemistry|Chemistry|Business Admn.|Management-----Human Resource Dev,2
History|Law-----Tourism,2
English Lit|Business Admn.-----Agriculture & Cooperation,2
Political Sc.|Law|Economics|Macro Eco Policy & Plg-----Textiles,2
Economics|Law|Business Admn.-----Land Revenue Mgmt & District Admn,2
"History|Law|Economics-----Consumer Affairs, Food & PD",2
Public Admn|Commerce|Law|Commerce-----Human Resource Dev,2
Mathematics|Law|Statistics-----Energy,2
Law|Philosophy|Psychology-----Personnel and General Administration,2
Geology|Economics|Geology-----Land Revenue Mgmt & District Admn,2
German|Physics|Physics-----Labour & Employment,2
Intnl.law|Economics-----Land Revenue Mgmt & District Admn,2
Law|Political Sc.|Economics|Political Sc.-----Land Revenue Mgmt & District Admn,2
Accountancy|Commerce-----Mines & Minerals,2
Dev Adm|Economics|Economics-----Public Works,2
Political Sc.|Education|Political Sc.-----Land Revenue Mgmt & District Admn,2
"Accountancy|Commerce-----Consumer Affairs, Food & PD",2
Physics|Agrl.Economics|Public Admn-----Finance,2
English|Business Admn.|English-----Law & Justice,2
"Political Sc.|Law|Economics|Macro Eco Policy & Plg-----Consumer Affairs, Food & PD",2
Civil Engg|Marketing-----Land Revenue Mgmt & District Admn,2
Law|Mathematics|Law|Mathematics-----Transport,2
Intnl.law|Economics-----Labour & Employment,2
Law|Political Sc.|Political Sc.-----Health & Family Welfare,2
English|English|English-----Finance,2
Zoology|Law|Business Admn.-----Transport,2
Physics|Agrl.Economics|Public Admn-----Energy,2
Pure Maths-----Land Revenue Mgmt & District Admn,2
Physics|Law-----Social Justice & Empowerment,2
Law|Physics|Business Admn.|Physics-----Textiles,2
Prodn.Engg.|Forestry-----Land Revenue Mgmt & District Admn,2
"Physics|Agrl.Economics|Public Admn-----Consumer Affairs, Food & PD",2
English|Business Admn.|English-----Planning & Prog Implementation,2
Law|Physics|Business Admn.|Physics-----Personnel and General Administration,2
Law|Physics|Business Admn.|Physics-----Commerce,2
English|Intnl Trade.|Intnl Relations-----Land Revenue Mgmt & District Admn,2
History|N.A.|Rur Social Dev|Social Sciences|Public Admn-----N.Applicable,2
Law|Political Sc.|Political Sc.-----Environment & Forests,2
History|History|History|Macro Eco Policy & Plg|Economics-----Personnel and General Administration,2
English|Intnl Studies-----Water Resources,2
Indus Relations|Economics|Economics-----Industries,2
Zoology|Law|Business Admn.-----Energy,2
Economics|Development Economics|Economics|Indl.economics-----Land Revenue Mgmt & District Admn,2
English|Physics|Management-----Finance,2
History|Business Admn.-----Service Commn,2
History|History|History|Macro Eco Policy & Plg|Economics-----Land Revenue Mgmt & District Admn,2
Public Admn|History|Law|Social Sciences|Political Sc.-----Home,2
History|Business Admn.-----Staff Officers,2
Electrical Engg.|Electrical Engg.-----Health & Family Welfare,2
History|Business Admn.-----Mines & Minerals,2
Law|Economics|Public Admn-----Mines & Minerals,2
Law|Political Sc.|Political Sc.|Political Sc.-----Land Revenue Mgmt & District Admn,2
Physics|Economic Dev.|Political Sc.-----Agriculture & Cooperation,2
Cooperation|Botany|Business Mgt|Botany|Forestry-----N.Applicable,2
English|Physics|Management-----Human Resource Dev,2
Art|Rural Dev|Statistics-----N.Applicable,2
History|N.A.|Rur Social Dev|Social Sciences|Public Admn-----Social Justice & Empowerment,2
Indus Relations|Economics|Economics-----Finance,2
Political Sc.|Education-----Land Revenue Mgmt & District Admn,2
Civil Engg|Indl.mgt|Urban Planning-----Land Revenue Mgmt & District Admn,2
English|Economics|Export-----Urban Development,2
Mech.engg.|Electrical Engg.|Economics-----Industries,2
"Philosophy|Political Sc.-----Consumer Affairs, Food & PD",2
Agriculture|Business Admn.|Economics-----Law & Justice,2
Agriculture|Business Admn.|Economics-----Urban Development,2
Agriculture|Business Admn.|Economics-----Agriculture & Cooperation,2
Chemistry-----Commerce,2
Electrical Engg.|Finance-----Industries,2
Botany|Botany|Law|Economics|Public Admn|Management|Social Sciences-----Mines & Minerals,2
Persian-----Social Justice & Empowerment,2
Dev Adm|Economics|Law|English Lit-----Planning & Prog Implementation,2
Economics|Law|Economics-----Defence,2
Zoology|Law|Business Admn.-----Industries,2
Physics|Chemistry-----Rural Dev,2
Economics|Law|Management-----Commerce,2
Architecture-----Agriculture & Cooperation,2
Psychology|Business Admn.-----Urban Development,2
Persian-----Industries,2
Law|History|Managerial Eco-----Finance,2
Mech.engg.|Electrical Engg.|Economics-----Agriculture & Cooperation,2
Chemistry|Law|History-----Labour & Employment,2
Law|Economics|Public Admn-----Finance,2
Hindi-----Commerce,2
Commerce|Law|Business Admn.|Economics-----Personnel and General Administration,2
Punjabi|History-----Land Revenue Mgmt & District Admn,2
Law|History|Managerial Eco-----Land Revenue Mgmt & District Admn,2
French|German|Physiology|English Lit-----Planning & Prog Implementation,2
History|Law|History-----Water Resources,2
Economics|Development Economics|Economics|Indl.economics-----Finance,2
Agriculture|Business Admn.|Plant Breeding-----Agriculture & Cooperation,2
Botany|English Lit-----Labour & Employment,2
Dentistry-----Public Administration,2
Urban Studies|Civil Engg|Urban Planning-----Tourism,2
Public Admn|Mathematics-----Industries,2
Electronics|Computer Application-----Land Revenue Mgmt & District Admn,2
Political Sc.|Economics|Sociology-----Rural Dev,2
Political Sc.|Law|Public Admn-----Labour & Employment,2
English Lit|Business Admn.|English Lit|Law-----Social Justice & Empowerment,2
Political Sc.|Economics|Sociology-----Social Justice & Empowerment,2
Chemistry-----Textiles,2
French|German|Physiology|English Lit-----Human Resource Dev,2
Botany|English Lit-----Social Justice & Empowerment,2
Urban Studies|Civil Engg|Urban Planning-----Planning & Prog Implementation,2
Urban Studies|Civil Engg|Urban Planning-----Agriculture & Cooperation,2
History|Anthropology-----Urban Development,2
English Lit|Business Admn.|English Lit|Law-----Labour & Employment,2
Mathematics|Economics-----Health & Family Welfare,2
English|English|English Lit-----Culture,2
Philosophy|History-----Land Revenue Mgmt & District Admn,2
Accountancy|Commerce-----Tourism,2
Biology|Environmental Science-----Rural Dev,2
Commerce|Law|Commerce-----Environment & Forests,2
Botany|Management|Botany|Botany-----Energy,2
Mathematics|Economics|Economics-----Personnel and General Administration,2
Sanskrit|Sanskrit-----Personnel and General Administration,2
English|Physics|Management-----Transport,2
Law|Chemistry|Law|Law-----Corporate Management (New),2
Hindi|Law|Economics-----Finance,2
Physics|Computer Tech|Business Admn.-----Social Justice & Empowerment,2
French|Geography|English-----Human Resource Dev,2
Public Admn|Economics|Economics-----Industries,2
Agriculture|Business Admn.|Plant Breeding-----Finance,2
Political Sc.|Law|Public Admn-----Transport,2
Botany|Botany|Law|Economics|Public Admn|Management|Social Sciences-----N.Applicable,2
Engineeriing-----Agriculture & Cooperation,2
Political Sc.-----Service Commn,2
Law|Political Sc.|Political Sc.|Political Sc.-----Finance,2
Geology|Geology-----Information & Broadcasting,2
Electrical Engg.|Engineeriing-----Land Revenue Mgmt & District Admn,2
Economics-----Women & Child Dev,2
Mathematics|Economics-----Urban Development,2
German|Economics-----Land Revenue Mgmt & District Admn,2
Geology|Geology-----Transport,2
French|Geography|English-----Land Revenue Mgmt & District Admn,2
Economics|Public Admn|Philosophy-----Communications & Information Technology,2
Law|Chemistry|Law|Law-----Land Revenue Mgmt & District Admn,2
French|Geography|English-----Industries,2
Economics|Public Admn|Philosophy-----Planning & Prog Implementation,2
Pers.Mgt.|Public Admn-----Agriculture & Cooperation,2
Art|Rural Dev|Statistics-----ST Welfare,2
Physics|Computer Tech|Business Admn.-----Land Revenue Mgmt & District Admn,2
Social Sciences|Economics-----Land Revenue Mgmt & District Admn,2
Commerce|Finance-----Land Revenue Mgmt & District Admn,2
Physics|Mathematics-----ST Welfare,2
Electrical Engg.|Finance-----Home,2
Economics|Social Sciences|Economics-----Energy,2
Economics|Law|Economics-----Information & Broadcasting,2
English|Finance|English-----Local Self Govt,2
Economics|Social Sciences|Economics-----N.Applicable,2
Mathematics|Physics-----Public Works,2
English|Finance|English-----N.Applicable,2
Economics-----N.Available,2
Political Sc.|Political Sc.|Management-----N.Applicable,2
Economics|Social Sciences|Economics-----Land Revenue Mgmt & District Admn,2
Agriculture|Genetics|Agriculture-----Rural Dev,2
Physics|Development Economics|Economics|Mathematics|Physics-----Planning & Prog Implementation,2
Urban Planning|Economics|Sociology|Sociology-----Social Justice & Empowerment,2
Economics|Social Sciences|Economics-----Social Justice & Empowerment,2
Zoology|Psychology-----Industries,2
English|Economics|Economics|Social Pol&planning -uk|Economics-----N.Applicable,2
English|Finance|English-----Finance,2
History|Public Admn-----Health & Family Welfare,2
Physics|Development Economics|Economics|Mathematics|Physics-----Agriculture & Cooperation,2
Pers.Mgt.|English Lit|Law|English Lit|Pers.Mgt.-----Agriculture & Cooperation,2
Geography|Geography-----Women & Child Dev,2
Economics|Law|Economics|Economics|Public Admn-----Finance,2
"Economics|Economics|French-----Consumer Affairs, Food & PD",2
History|Dev Mgt|Intnl Politics-----Personnel and General Administration,2
Electronics|Physics|Electrical Engg.|Management-----Staff Officers,2
Electronics|Physics|Electrical Engg.|Management-----Personnel and General Administration,2
English|History-----Transport,2
Public Admn|Chemistry-----Land Revenue Mgmt & District Admn,2
Electronics|Physics|Electrical Engg.|Management-----Land Revenue Mgmt & District Admn,2
"Law|Political Sc.-----Consumer Affairs, Food & PD",2
Hindi|Sanskrit|Sanskrit-----Human Resource Dev,2
German|Chemistry-----Corporate Management (New),2
Public Admn|History|English Lit|History-----Culture,2
Accountancy|Commerce|Accountancy-----Finance,2
Business Admn.|Economics|Law-----Land Revenue Mgmt & District Admn,2
Mathematics|Economics|Political Sc.-----Mines & Minerals,2
History|Dev Mgt|Intnl Politics-----Industries,2
History|Dev Mgt|Intnl Politics-----Finance,2
Economics|Law|Economics|Economics|Public Admn-----Personnel and General Administration,2
History|Law-----Law & Justice,2
Physics|Economic Dev.|Political Sc.-----Land Revenue Mgmt & District Admn,2
Hindi|Sanskrit|Sanskrit-----Local Self Govt,2
Social Sciences|English-----Energy,2
Mathematics|Economics|Political Sc.-----Human Resource Dev,2
English|Business Admn.|English-----Agriculture & Cooperation,2
German|Economics|Economics-----Social Justice & Empowerment,2
Hindi|Sanskrit|Sanskrit-----Agriculture & Cooperation,2
Fishery Science|Fishery Science|Science-----Commerce,2
German|Economics|Economics-----Tourism,2
"English|Business Admn.|English-----Consumer Affairs, Food & PD",2
Hindi|Sanskrit|Sanskrit-----Social Justice & Empowerment,2
English|Finance|English-----Personnel and General Administration,2
"Public Admn|Chemistry-----Consumer Affairs, Food & PD",2
Journalism|English|English-----Land Revenue Mgmt & District Admn,2
English|Journalism|Dev Mgt|English-----Transport,2
Fishery Science|Fishery Science|Science-----Personnel and General Administration,2
History|Law|Ancient Ind.history-----Planning & Prog Implementation,2
Economics|History-----,2
History|Management|Political Sc.-----Agriculture & Cooperation,2
English Lit|Law|Business Admn.|English Lit|Rural Dev-----Personnel and General Administration,2
English|Philosophy-----Agriculture & Cooperation,2
Public Admn|History|English Lit|History-----Tourism,2
Economics|Social Sciences|Economics-----Corporate Management (New),2
English Lit|Law|Business Admn.|English Lit|Rural Dev-----Land Revenue Mgmt & District Admn,2
Naval Architre-----Urban Development,2
English Lit|Law|Business Admn.|English Lit|Rural Dev-----Agriculture & Cooperation,2
English|Philosophy-----Protocol,2
History|Business Admn.|Intnl Relations-----Rural Dev,2
Civil Engg|Civil Engg-----N.Applicable,2
English Lit|English-----Health & Family Welfare,2
English|Philosophy-----Law & Justice,2
Development Economics|Economics|History-----Land Revenue Mgmt & District Admn,2
Political Sc.|Economics-----Human Resource Dev,2
English|Economics|Export-----Commerce,2
Dev Studies|Indian History|N.A.|History-----Land Revenue Mgmt & District Admn,2
Economics|Economics|Social Sciences-----Rural Dev,2
Economics|Economics|Social Sciences-----Culture,2
Dev Studies|Indian History|N.A.|History-----Industries,2
Physics|Development Economics|Economics|Mathematics|Physics-----Personnel and General Administration,2
English|Economics|Export-----Health & Family Welfare,2
Physics|Chemistry-----Human Resource Dev,2
Commerce|Finance-----Personnel and General Administration,2
Economics|Economics|Social Sciences-----Agriculture & Cooperation,2
Poltics|Political Sc.-----Land Revenue Mgmt & District Admn,2
"Commerce|Finance-----Consumer Affairs, Food & PD",2
Botany-----ST Welfare,2
Economics|Social Sciences|Economics-----Personnel and General Administration,2
Social Sciences|English-----Personnel and General Administration,2
English|English|Law-----Finance,2
Physics|Development Economics|Economics|Mathematics|Physics-----Land Revenue Mgmt & District Admn,2
Economics|History-----Women & Child Dev,2
Mathematics|Chemistry|Political Sc.-----Rural Dev,2
Philosophy|Public Admn|English-----Planning & Prog Implementation,2
History|Law|Economics-----Industries,2
Development Economics|Economics|History-----Agriculture & Cooperation,2
Journalism|English|English-----Planning & Prog Implementation,2
Civil Engg|Structural Engg-----Commerce,2
Banking Law-----Tourism,2
Journalism|English|English-----Agriculture & Cooperation,2
Philosophy|Public Admn|English-----Personnel and General Administration,2
Medicine|Public Policy|Rural Dev|Development-----Land Revenue Mgmt & District Admn,2
Poltics|Political Sc.-----Personnel and General Administration,2
Dev Adm|Economics|Law|English Lit-----Home,2
Mech.engg.-----Tourism,2
English Lit|Physics|Economics|English Lit|Rural Dev-----Rural Dev,2
"History|Law|Ancient Ind.history-----Consumer Affairs, Food & PD",2
History|Business Admn.|Intnl Relations-----Personnel and General Administration,2
Economics|Social Work-----Land Revenue Mgmt & District Admn,2
Law|Physics|Linguistics-----Youth Affairs & Sports,2
Civil Engg|Structural Engg-----Transport,2
Law|Physics|Linguistics-----Land Revenue Mgmt & District Admn,2
English Lit|Economics-----Health & Family Welfare,2
Law|Physics|Linguistics-----Information & Broadcasting,2
Public Admn|History|English Lit|History-----Home,2
Medicine|Public Policy|Rural Dev|Development-----Urban Development,2
English Lit|Economics|Mathematics-----Finance,2
N.A.|Law-----Agriculture & Cooperation,2
Education|English|Political Sc.-----Finance,2
Urban Planning|Physics|Physics-----Home,2
Physics|Public Admn-----Personnel and General Administration,2
Physics|Public Admn-----Finance,2
Physics|Sociology-----Agriculture & Cooperation,2
Philosophy|History-----Agriculture & Cooperation,2
Physics|Development Economics|Economics|Mathematics|Physics-----Protocol,2
N.A.|Law-----Industries,2
Botany|Law|Law-----Water Resources,2
English Lit|Economics|Mathematics-----Agriculture & Cooperation,2
Chemistry|Sociology-----Personnel and General Administration,2
Hindi|History|Social Sciences-----Transport,2
Hindi|History|Social Sciences-----Finance,2
Mech.engg.|Indl Engg.-----Planning & Prog Implementation,2
Urban Planning|Physics|Physics-----Law & Justice,2
English|Law|Economics|Political Sc.|Rural Dev-----Industries,2
Psychology|N.A.|International Dev|Law-----Personnel and General Administration,2
Economics|Social Work-----Finance,2
Urban Planning|Physics|Physics-----Health & Family Welfare,2
N.A.|Law-----Urban Development,2
"Demography,|English|English-----Home",2
Economics|Social Work-----Transport,2
Chemistry|Sociology-----Service Commn,2
English|Law|Geography-----Agriculture & Cooperation,2
Agriculture|Botany-----Finance,2
Economics|Social Work-----Agriculture & Cooperation,2
Law|Physics-----Information & Broadcasting,2
Chemistry|Dev Studies|English|Development Economics-----Health & Family Welfare,2
Physics|Public Admn-----Corporate Management (New),2
N.A.|Transportation-----N.Applicable,2
Banking|Russian|Physics|Public Admn-----Water Resources,2
Mathematics|Mathematics|Mathematical Sciences|Law|Business Admn.|Economics-----,2
Economics|Business Mgt|Business Mgt-----Personnel and General Administration,2
Economics|Economics|Public Admn-----Agriculture & Cooperation,2
German|Philosophy|Philosophy-----Environment & Forests,2
Civil Engg|Civil Engg|Business Admn.-----Land Revenue Mgmt & District Admn,2
Art|Poltics-----Land Revenue Mgmt & District Admn,2
Law|Political Sc.|Public Admn-----Youth Affairs & Sports,2
English Lit|History-----Public Works,2
Economics|Business Mgt|Business Mgt-----Land Revenue Mgmt & District Admn,2
"Political Sc.|Political Sc.|Demography,-----Home",2
Botany|Law|Law-----N.Applicable,2
English Lit|History-----Social Justice & Empowerment,2
Accountancy-----Agriculture & Cooperation,2
Science-----Corporate Management (New),2
Management|Economics|Business Admn.-----Health & Family Welfare,2
Political Sc.|Psychology|Psychology|Behav Science-----Agriculture & Cooperation,2
Physics|Physics|Science-----Home,2
Physics|Physics|Science-----Finance,2
Management|Economics|Business Admn.-----Energy,2
Electrical Engg.|Computer Tech-----Rural Dev,2
Mathematics|Mathematics|History-----Land Revenue Mgmt & District Admn,2
Banking|Russian|Physics|Public Admn-----Land Revenue Mgmt & District Admn,2
Accountancy|Fincl Mgt|Micro ¯o Eco|Public Policy-----Public Administration,2
Management|Economics|Business Admn.-----Information & Broadcasting,2
N.A.|Transportation-----Personnel and General Administration,2
Economics|Social Work-----Information & Broadcasting,2
English|Crimnology|Economics|Social Sciences-----Finance,2
"Physics|Public Admn-----Consumer Affairs, Food & PD",2
English|Law|English|Social Sciences-----Human Resource Dev,2
Accountancy|Banking-----Public Works,2
Economics|Law|Business Admn.|Political Sc.-----Land Revenue Mgmt & District Admn,2
Rur Social Dev|Statistics|Economics|Economics-----Home,2
Hindi|Law|English-----Human Resource Dev,2
Public Policy|Electronics-----Land Revenue Mgmt & District Admn,2
Public Admn|English|Law|Mathematics-----Personnel and General Administration,2
Physics|Physics|Physics-----Science & Technology,2
Chemistry|Chemistry-----Textiles,2
Physics|Public Admn|Social Work-----Land Revenue Mgmt & District Admn,2
French|Public Admn|English Lit|Geography-----Local Self Govt,2
Mathematics|Mathematics-----Law & Justice,2
Law|Physics|Physics-----Protocol,2
French|Dev Adm|System Mgt|Anthropology|Sociology-----Land Revenue Mgmt & District Admn,2
Hindi-----Human Resource Dev,2
Physics|Physics|Physics-----Personnel and General Administration,2
"Physics|Law-----Consumer Affairs, Food & PD",2
Botany|Marketing Mgt|Business Admn.-----Agriculture & Cooperation,2
"Philosophy-----Consumer Affairs, Food & PD",2
Physics|Business Admn.-----Parliamentary Affairs,2
Mathematics|Mathematics|Dev Adm|Mathematics-----N.Applicable,2
Psychology|Urban Studies|Geography-----Human Resource Dev,2
English Lit|Mathematics-----Urban Development,2
Law|Zoology|Chemistry|Agrl.Economics-----Home,2
French|Public Admn|English Lit|Geography-----Personnel and General Administration,2
Rur Social Dev|Statistics|Economics|Economics-----Land Revenue Mgmt & District Admn,2
Art-----Communications & Information Technology,2
Physics|Public Admn|Social Work-----Transport,2
English|Crimnology|Economics|Social Sciences-----Agriculture & Cooperation,2
Political Sc.|Psychology|Psychology|Behav Science-----N.Applicable,2
French|German|Physiology|English Lit-----Land Revenue Mgmt & District Admn,2
Journalism|Education|English|Political Sc.-----Personnel and General Administration,2
English Lit|Mathematics-----Human Resource Dev,2
Geography|Geography-----,2
Public Admn|English|Law|Mathematics-----Finance,2
Law|Mathematics-----Agriculture & Cooperation,2
Physics (hons)|N.A.|Business Mgt-----Finance,2
Energy Studies|Physics|Physics-----Agriculture & Cooperation,2
History|Euro.history-----Home,2
Accountancy|Business Mgt|Public Policy|Yoga-----Land Revenue Mgmt & District Admn,2
Psychology|Business Admn.|English Lit-----Industries,2
History|Euro.history-----Urban Development,2
Public Admn|English|Law|Mathematics-----Agriculture & Cooperation,2
English Lit|English-----Water Resources,2
Electrical Engg.|Management-----Health & Family Welfare,2
English|History|Business Admn.-----Home,2
Economics|History|Development Economics-----Personnel and General Administration,2
Political Sc.|Public Admn-----Energy,2
Commerce|Business Admn.|Commerce|Company Mgt.|Cost Acct-----Health & Family Welfare,2
Electronics Engg-----Mines & Minerals,2
Electrical Engg.|Physics-----Personnel and General Administration,2
English Lit|Mathematics-----Home,2
English|Law|Mathematics-----Finance,2
Economics|History|Development Economics-----Social Justice & Empowerment,2
Hindi|Law-----Transport,2
Psychology|Urban Studies|Geography-----Home,2
Psychology|Business Admn.|English Lit-----Health & Family Welfare,2
English|Economics|English-----N.Applicable,2
German|Chemistry|Bio Chemistry|Science-----Land Revenue Mgmt & District Admn,2
English Lit|Social Sciences|English Lit|Public Admn-----Protocol,2
English|Economics|English-----Social Justice & Empowerment,2
Economics|Development Economics|Economics|Indl.economics-----Personnel and General Administration,2
Political Sc.|Business Admn.|Intnl.affairs|Political Sc.-----Personnel and General Administration,2
Anthropology|Zoology-----Industries,2
Political Sc.|Business Admn.|Intnl.affairs|Political Sc.-----Health & Family Welfare,2
German|Chemistry|Bio Chemistry|Science-----Women & Child Dev,2
Political Sc.|Business Admn.|Intnl.affairs|Political Sc.-----Land Revenue Mgmt & District Admn,2
Nursing-----N.Applicable,2
Political Sc.|Business Admn.|Intnl.affairs|Political Sc.-----Finance,2
Physics|Economic Dev.|Political Sc.-----Labour & Employment,2
English Lit|Psychology|English Lit-----Energy,2
Commerce|Law-----Science & Technology,2
History|French|Executive Devlopment|History-----Industries,2
History|Law-----,2
Economics|Business Admn.-----Commerce,2
Metallurgy Engg|Business Admn.|Economics-----Land Revenue Mgmt & District Admn,2
"Physics|Economic Dev.|Political Sc.-----Consumer Affairs, Food & PD",2
"Electrical Engg.|Computer System-----Consumer Affairs, Food & PD",2
Chemistry|Physics-----Personnel and General Administration,2
Economics|Development Economics|Economics|Indl.economics-----Industries,2
Economics|English Lit-----Rural Dev,2
Political Sc.|Business Admn.|Intnl.affairs|Political Sc.-----N.Applicable,2
Electrical Engg.|Computer System-----Urban Development,2
Geography|Geography-----Service Commn,2
English Lit|Psychology|English Lit-----Urban Development,2
Organic Chemistry|Organic Chemistry-----Finance,2
History (hons)-----Rural Dev,2
Botany|Management|Botany|Botany-----Agriculture & Cooperation,2
English Lit|Economics|Mathematics-----Land Revenue Mgmt & District Admn,2
Zoology|Botany|English|Philosophy-----Land Revenue Mgmt & District Admn,2
Philosophy-----Urban Development,2
Public Admn|Dev Adm|Law|Mathematics-----Land Revenue Mgmt & District Admn,2
Economics|Business Admn.-----Environment & Forests,2
Chemistry|Dev Studies|English|Development Economics-----N.Applicable,2
Statistics|Electronics-----Planning & Prog Implementation,2
Accountancy-----Youth Affairs & Sports,2
Metallurgy Engg|Business Admn.|Economics-----N.Applicable,2
Commerce|Economics-----Textiles,2
Economics|Law|Economics|Law-----Land Revenue Mgmt & District Admn,2
English|Economics|Economics|Social Pol&planning -uk|Economics-----Land Revenue Mgmt & District Admn,2
Costing|Economics-----Finance,2
Economics|Law|Economics|Law-----Urban Development,2
Philosophy|History-----Personnel and General Administration,2
English Lit|Psychology|English Lit-----Social Justice & Empowerment,2
Banking|Economics|Law|Economics-----Land Revenue Mgmt & District Admn,2
English Lit|Psychology|English Lit-----Finance,2
Economics|English-----Commerce,2
Economics|Law|Economics|Law-----Agriculture & Cooperation,2
Political Sc.|English Lit-----Health & Family Welfare,2
Commerce|Economics-----Labour & Employment,2
Economics|Law|Economics|Law-----Industries,2
Chemistry|Physics-----Science & Technology,2
Physics (hons)|N.A.|Business Mgt-----Agriculture & Cooperation,2
Art|Political Sc.-----Local Self Govt,2
History|Law|Economics-----Information & Broadcasting,2
History|German-----Industries,2
Geography|Geography-----Culture,2
History-----Public Administration,2
Political Sc.|Psychology|Psychology|Behav Science-----Social Justice & Empowerment,2
"Political Sc.|English Lit-----Consumer Affairs, Food & PD",2
Mech.engg.|Pers.Mgt.-----Industries,2
Political Sc.|English Lit-----Mines & Minerals,2
English|Law|Geography-----Public Works,2
Sociology-----Human Resource Dev,2
History|Public Admn-----ST Welfare,2
Medicine|Medicine|N.A.-----Land Revenue Mgmt & District Admn,2
Medicine-----Information & Broadcasting,2
Electrical Engg.|Finance|Cost Acct-----Industries,2
Economics|Economics|Pers.Mgt.-----Agriculture & Cooperation,2
Port Plg & Managemt|History|Law|History|Management|Science-----Personnel and General Administration,2
Agronomy-----Land Revenue Mgmt & District Admn,2
History|German-----Land Revenue Mgmt & District Admn,2
Physics|Dev Studies|Physics-----Agriculture & Cooperation,2
Political Sc.|INTNL RELATIONS|Intnl Politics-----Land Revenue Mgmt & District Admn,2
Physics|Mathematics|Physics-----Commerce,2
Poltics-----,2
Economics|Political Sc.-----Defence,2
Aerospace Enginneering|Business Admn.-----Urban Development,2
Prodn.Engg.|Public Policy-----Urban Development,2
Dev Adm|French|Hindi|Hindi|Political Sc.-----Energy,2
Iformation&tech-----N.Applicable,2
Political Sc.|Psychology|Psychology|Behav Science-----Land Revenue Mgmt & District Admn,2
Economics|Political Sc.|Law|Economics-----Human Resource Dev,2
Medicine|Medicine|N.A.-----Agriculture & Cooperation,2
Political Sc.|INTNL RELATIONS|Intnl Politics-----Culture,2
Public Admn|Physics|Physics|Intrnl Deve Policy-----Agriculture & Cooperation,2
Accounting and Auditing|Costing|Law-----Land Revenue Mgmt & District Admn,2
Development|Mathematics|Mathematics-----Transport,2
"Development|Mathematics|Mathematics-----Consumer Affairs, Food & PD",2
Mathematics|Business Admn.|Mathematics-----Land Revenue Mgmt & District Admn,2
Mathematics|Management-----Land Revenue Mgmt & District Admn,2
English Lit|Social Sciences|English Lit|Public Admn-----Land Revenue Mgmt & District Admn,2
Law|Mathematics|Mathematics|Public Admn-----Local Self Govt,2
Dev Adm|English|History-----Industries,2
Economics|Political Sc.-----Information & Broadcasting,2
Chemistry|Political Sc.-----ST Welfare,2
Political Sc.|French|Sociology-----Health & Family Welfare,2
English Lit|Psychology|English Lit-----Land Revenue Mgmt & District Admn,2
"History|Philosophy-----Consumer Affairs, Food & PD",2
Statistics-----Human Resource Dev,2
Zoology|Zoology|Zoology-----Personnel and General Administration,2
"Geography-----Consumer Affairs, Food & PD",2
"Mathematics|Business Admn.|Mathematics-----Consumer Affairs, Food & PD",2
Science-----Health & Family Welfare,2
Economics|Management|Marketing|Economics-----Personnel and General Administration,2
