Item,Count,Field,Subject
,3,Land Revenue Mgmt & District Admn,Botany|Biology
,3,Land Revenue Mgmt & District Admn,International Dev|Civil Engg|Economics
,3,Rural Dev,Accountancy
,3,Personnel and General Administration,Economics|Social Sciences|Computer Sc
,3,Land Revenue Mgmt & District Admn,Intnl Studies|Intnl.law|Physics|Political Sc.
,3,Personnel and General Administration,Intnl Studies|Intnl.law|Intnl Trade.
,3,Land Revenue Mgmt & District Admn,Intnl Studies|Intnl.law|Intnl Trade.
,3,,Mech.engg.|Management
,3,N.Applicable,Mech.engg.|Management
,3,"Consumer Affairs, Food & PD",Mech.engg.|Indl.mgt
,3,Rural Dev,Electronics and Communication|Electronics
,3,Finance,Mech.engg.|Public Policy
,3,N.Available,Civil Engg
,3,Human Resource Dev,Public Policy|Management|Public Admn|N.A.|Nuclear Physics
,3,Land Revenue Mgmt & District Admn,Law|Chemical Engg
,3,Land Revenue Mgmt & District Admn,Electrical Engg.|Systems Science & Automation
,3,Agriculture & Cooperation,Public Policy|Development|Communication|Political Sc.
,3,Staff Officers,English Lit
,3,N.Available,Medicine
,3,Land Revenue Mgmt & District Admn,Law|Chemistry|Business Admn.
,3,Rural Dev,Mining.Engg.
,3,Land Revenue Mgmt & District Admn,Public Admn|Electrical Engg.|Communication
,3,Land Revenue Mgmt & District Admn,Public Health|Sociology
,3,Land Revenue Mgmt & District Admn,Applied Geology
,3,Personnel and General Administration,Metallurgy Engg
,3,"Consumer Affairs, Food & PD",Metallurgy Engg
,3,Finance,Chemical Engg|Finance|Intnl Economics|Globalization and Urban Dev
,3,Industries,Chemical Engg|Finance|Intnl Economics|Globalization and Urban Dev
,3,Finance,Economics|Geology
,3,Agriculture & Cooperation,Environmental Laws|Business Mgt|Law & Governance|Company Law|Computer Sc|Intel.property Law|Law|Tourism|Ecology|Public Mgmt & Policy|Urban Dev|Procurement
,3,Land Revenue Mgmt & District Admn,Public Policy & Mgmt|Agriculture
,3,Energy,Public Admn|Agriculture|Finance|Soil Science
,3,Agriculture & Cooperation,Public Admn|Electrical Engg.
,3,Industries,Bio Chemistry
,3,Agriculture & Cooperation,English|English Lit|Development
,3,Agriculture & Cooperation,Economics|Law|Computer Sc|Business Admn.
,3,Land Revenue Mgmt & District Admn,Economics|Law|Computer Sc|Business Admn.
,3,Personnel and General Administration,Economics|Law|Computer Sc|Business Admn.
,3,Land Revenue Mgmt & District Admn,Mech.engg.|Fincl Mgt|Ecology|Business Admn.
,3,Land Revenue Mgmt & District Admn,Geography|Public Admn|Law
,3,Personnel and General Administration,Civil Engg|Foundation Engg
,3,Human Resource Dev,Commerce|Business Admn.
,3,Finance,French|Development Economics|Psychology
,3,Land Revenue Mgmt & District Admn,Anthropology|Botany|Public Admn
,3,Tourism,Geography
,3,Personnel and General Administration,Economics|Journalism
,3,Land Revenue Mgmt & District Admn,Urban Dev|Public Service|Hindi|Art
,3,N.Applicable,Mech.engg.|Economics|Business Admn.
,3,Home,Zoology|Fishery Science
,3,Urban Development,Mech.engg.|Public Policy|Urban Planning
,3,Land Revenue Mgmt & District Admn,English|Chemistry
,3,Finance,Public Mgmt & Policy|History|History (hons)
,3,Social Justice & Empowerment,N.A.|Botany
,3,Land Revenue Mgmt & District Admn,Public Mgmt & Policy|Electrical Engg.
,3,Local Self Govt,Physical Chem
,3,Transport,Horticulture
,3,Personnel and General Administration,Geology|Law
,3,Human Resource Dev,Management|Political Sc.|Finance
,3,Human Resource Dev,Company Law|Political Sc.
,3,Social Justice & Empowerment,Medicine|Dev Adm
,3,Industries,Governance & Dev.|Civil Engg
,3,Women & Child Dev,Sociology
,3,Personnel and General Administration,N.A.|French|Zoology
,3,Land Revenue Mgmt & District Admn,French|Development Economics|Psychology
,3,Land Revenue Mgmt & District Admn,Economics|Defence & Strategic Studies
,3,Land Revenue Mgmt & District Admn,Public Policy|Psychology|Public Mgmt & Policy|Public Policy & Mgmt
,3,Land Revenue Mgmt & District Admn,Management|Public Admn|Fincl Mgt|Electrical Engg.|Business Admn.
,3,,Science
,3,Finance,Management|Business Mgt|Transportation|Electronics|Public Admn|Social Sciences|N.A.
,3,Urban Development,N.A.|Economics|Management
,3,Finance,N.A.|Economics|Management
,3,Land Revenue Mgmt & District Admn,N.A.|Economics|Management
,3,,Law|English|Marketing Mgt
,3,Labour & Employment,Law|English|Marketing Mgt
,3,Agriculture & Cooperation,English|English Lit|Business Admn.
,3,Rural Dev,Health Management|Electrical Engg.
,3,Land Revenue Mgmt & District Admn,Health Management|Electrical Engg.
,3,N.Applicable,Management|Electronics
,3,Urban Development,Management|Electronics
,3,Industries,Accountancy|Company Law|Law|Commerce|Commercial Law
,3,Environment & Forests,Aerospace Enginneering
,3,"Consumer Affairs, Food & PD",Public Policy|Electrical Engg.
,3,Health & Family Welfare,Philosophy|Geography|Intnl Relations
,3,N.Available,Computer Sc
,3,Urban Development,Philosophy|Geography|Intnl Relations
,3,Land Revenue Mgmt & District Admn,Medicine|Health Management|Public Admn|Business Admn.
,3,Agriculture & Cooperation,Accountancy|Agriculture
,3,Rural Dev,Accountancy|Agriculture
,3,Land Revenue Mgmt & District Admn,N.A.|French|Zoology
,3,N.Applicable,Public Policy|Psychology|Public Mgmt & Policy|Public Policy & Mgmt
,3,Land Revenue Mgmt & District Admn,Electrical Engg.|Radar Engg
,3,N.Applicable,Public Admn
,3,Land Revenue Mgmt & District Admn,Engineeriing|Electronics
,3,Human Resource Dev,Planning.|Law|Civil Engg
,3,Mail Management,N.A.
,3,Personnel and General Administration,Marketing|Chemistry
,3,Urban Development,Marketing|Chemistry
,3,Local Self Govt,Geology
,3,Personnel and General Administration,Power Electronics|Prodn.Control
,3,Land Revenue Mgmt & District Admn,Power Electronics|Prodn.Control
,3,Finance,Public Policy|Economics|Sociology
,3,Land Revenue Mgmt & District Admn,Computer System
,3,Rural Dev,Civil Engg|Foundation Engg
,3,Law & Justice,Civil Engg
,3,Land Revenue Mgmt & District Admn,Applied Geology|Geology|Public Admn
,3,Land Revenue Mgmt & District Admn,Hindi|Modern Ind.Hist
,3,Health & Family Welfare,Political Sc.|Computer System
,3,Finance,German|Computer Tech|Electrical Engg.
,3,Labour & Employment,Urban Dev|Animal Husby|Financial Management
,3,Energy,Mech.engg.|Public Policy
,3,Urban Development,Water R Dev|Civil Engg
,3,Personnel and General Administration,International Dev|Economics|Intel.property Law|Constitl. Law|Law
,3,ST Welfare,Electrical Engg.
,3,Agriculture & Cooperation,Microbiology
,3,Staff Officers,Agriculture
,3,Human Resource Dev,French|Zoology|Law|Political Sc.
,3,Land Revenue Mgmt & District Admn,N.A.|Zoology|Law|Management
,3,Land Revenue Mgmt & District Admn,Mech.engg.|Economics|Law|Indl Engg.
,3,Land Revenue Mgmt & District Admn,Commerce|Finance|Utility Regulation
,3,Land Revenue Mgmt & District Admn,Public Policy|Physics
,3,Energy,Public Mgmt & Policy|Economics|Electrical Engg.
,3,Land Revenue Mgmt & District Admn,English|Psychology
,3,Urban Development,Navigation|Human Res Mngmt|Marketing Mgt|History
,3,Land Revenue Mgmt & District Admn,Navigation|Human Res Mngmt|Marketing Mgt|History
,3,Health & Family Welfare,Philosophy|Physics|Russian
,3,Urban Development,Medicine|Public Admn|Dev Mgt
,3,Land Revenue Mgmt & District Admn,Medicine|Public Admn|Dev Mgt
,3,Personnel and General Administration,Economics|Civil Engg|Finance
,3,Urban Development,Economics|Civil Engg|Finance
,3,Environment & Forests,Construction Mgt|Civil Engg
,3,Urban Development,Public Policy|Medicine
,3,Land Revenue Mgmt & District Admn,Public Policy|Medicine
,3,Industries,N.A.|Marketing
,3,Energy,Commn.Engg|Electronics
,3,Land Revenue Mgmt & District Admn,Commn.Engg|Electronics
,3,Rural Dev,Business Admn.
,3,Personnel and General Administration,Computer Sc|Electronics
,3,Finance,N.A.|Zoology
,3,Urban Development,National Dev|Management|History|Political Sc.
,3,Rural Dev,Computer Tech|Physics|Business Admn.
,3,Staff Officers,History|Business Admn.
,3,Land Revenue Mgmt & District Admn,Constl.law|Chemistry
,3,Land Revenue Mgmt & District Admn,Law|English|English Lit|Applied Eco.
,3,Agriculture & Cooperation,English Lit|Business Admn.
,3,,Geology|Energy Planning|Political Sc.
,3,Land Revenue Mgmt & District Admn,Business Admn.|Physics|Behav Science
,3,Human Resource Dev,Law|English|Mathematics
,3,Agriculture & Cooperation,Sanskrit|Law
,3,Agriculture & Cooperation,Philosophy|Economics|Law
,3,Land Revenue Mgmt & District Admn,Philosophy|Economics|Management|Business Admn.
,3,Land Revenue Mgmt & District Admn,Political Sc.|Napalese
,3,Health & Family Welfare,Medicine|Paediatrics
,3,Agriculture & Cooperation,Economics|French|German|Hindi|Pharmacology|Russian|Physics|Business Admn.
,3,Land Revenue Mgmt & District Admn,Law|English|Business Admn.
,3,Service Commn,Law|Physics
,3,Rural Dev,Law|Mathematics
,3,,Sociology|Civil & Criminal Law|Human Rights
,3,Local Self Govt,Geography|History
,3,Transport,Agriculture
,3,Land Revenue Mgmt & District Admn,Banking|Commerce|Law
,3,Agriculture & Cooperation,Geography|History
,3,"Consumer Affairs, Food & PD",Economics|Hindi
,3,Agriculture & Cooperation,Law|Commerce|Sahitya Visharad
,3,Social Justice & Empowerment,Law|Commerce|Sahitya Visharad
,3,Land Revenue Mgmt & District Admn,English Lit|Education
,3,Human Resource Dev,English Lit|Education
,3,Parliamentary Affairs,Social Pol&planning -uk|Electrical Engg.|Physics
,3,Personnel and General Administration,Mech.engg.|French|System Analysis
,3,Home,English Lit|History|Intnl Relations
,3,Finance,Chemical Engg|Management
,3,N.Applicable,Chemical Engg|Management
,3,Personnel and General Administration,Anthropology|Sociology
,3,Rural Dev,Economics|Project Planning
,3,Land Revenue Mgmt & District Admn,Economics|Project Planning
,3,Land Revenue Mgmt & District Admn,Medicine|Business Admn.
,3,Industries,Economics|Physics|Modern Ind.Hist
,3,Land Revenue Mgmt & District Admn,Medieval Indian History|History
,3,Land Revenue Mgmt & District Admn,Medicine|Economics|Urban Planning
,3,Home,Chemistry|Business Admn.
,3,Personnel and General Administration,Law|Poltics|Political Sc.|Economics
,3,Law & Justice,History|Business Admn.
,3,Land Revenue Mgmt & District Admn,Rur Social Dev|Urdu|Chemistry
,3,Law & Justice,Rur Social Dev|Urdu|Chemistry
,3,Land Revenue Mgmt & District Admn,Geography|English|Export|Intnl Trade.
,3,,Iformation&tech|Medicine Surgery|Public Policy & Mgmt
,3,Land Revenue Mgmt & District Admn,Nursing
,3,Land Revenue Mgmt & District Admn,Commerce|Accounting and Auditing|Business Admn.
,3,Land Revenue Mgmt & District Admn,Human Resource|Agriculture|History
,3,Health & Family Welfare,Mech.engg.|Mechanical
,3,Finance,Psychology|Small Scale Sector
,3,Land Revenue Mgmt & District Admn,Psychology|Small Scale Sector
,3,Culture,History|Political Sc.
,3,Land Revenue Mgmt & District Admn,Management&system|Electrical Engg.
,3,Land Revenue Mgmt & District Admn,Economics|Public Admn|History|Gandhian Studies
,3,Rural Dev,Economics|Public Admn|History|Gandhian Studies
,3,Social Justice & Empowerment,Economics|Business Admn.
,3,Mines & Minerals,Plant Breeding|Agriculture
,3,Rural Dev,Psychology
,3,Planning & Prog Implementation,Sociology|Physics
,3,Information & Broadcasting,Sociology|Physics
,3,Tourism,Sociology|Physics
,3,Planning & Prog Implementation,Political Sc.|Business Admn.
,3,Social Justice & Empowerment,Political Sc.|Business Admn.
,3,Water Resources,Law|Hindi
,3,Land Revenue Mgmt & District Admn,Dev Studies|History|Social Work
,3,Land Revenue Mgmt & District Admn,Law|Commerce|Business Admn.
,3,Finance,Plant Breeding|Agriculture
,3,Finance,Rural Dev|History
,3,Industries,Rural Dev|History
,3,Personnel and General Administration,Labour Laws|Export Mgt|Urban Planning|Public Admn|Law|Planning.|Physics
,3,N.Applicable,French|Political Sc.|Intnl Relations
,3,Urban Development,French|Political Sc.|Intnl Relations
,3,Land Revenue Mgmt & District Admn,Sociology|Rural Dev
,3,Environment & Forests,Law
,3,Land Revenue Mgmt & District Admn,Bio-Technology|Bio Chemistry
,3,Planning & Prog Implementation,Finance|History
,3,Agriculture & Cooperation,Philosophy|Pers.Mgt.|Chemistry|Business Admn.
,3,Personnel and General Administration,Rural Social Dev
,3,Industries,Philosophy|Pers.Mgt.|Chemistry|Business Admn.
,3,Land Revenue Mgmt & District Admn,Chemistry|Poverty Alleviation|Public Admn|Dev Studies|Social Sciences|Physics
,3,Rural Dev,Law|Chemistry
,3,Personnel and General Administration,Dev Adm|Political Sc.
,3,Environment & Forests,History|Business Admn.
,3,Women & Child Dev,History|Business Admn.
,3,Tourism,Zoology|Botany|Tourism
,3,Land Revenue Mgmt & District Admn,N.A.|Law|Poltics|Political Sc.
,3,Agriculture & Cooperation,Electrical Engg.|Business Admn.
,3,Land Revenue Mgmt & District Admn,Commerce|Hindi
,3,Planning & Prog Implementation,Education|History
,3,Land Revenue Mgmt & District Admn,Pers.Mgt.|History
,3,Land Revenue Mgmt & District Admn,Mech.engg.|Police Admn
,3,Finance,Economics|History|Agrl.Economics
,3,Finance,Philosophy|Sanskrit|Hindi
,3,Science & Technology,Law|Commerce
,3,Land Revenue Mgmt & District Admn,Archaeology|History
,3,Rural Dev,Animal Husby
,3,Land Revenue Mgmt & District Admn,Ancient History
,3,Finance,Archaeology|History
,3,Land Revenue Mgmt & District Admn,Public Policy|Political Sc.
,3,Personnel and General Administration,Rur Social Dev|Forestry|Physics
,3,Agriculture & Cooperation,Rur Social Dev|Forestry|Physics
,3,Textiles,Electrical Engg.
,3,Information & Broadcasting,Zoology
,3,Land Revenue Mgmt & District Admn,Economics|Dev Adm|Law|Political Sc.
,3,Land Revenue Mgmt & District Admn,Science|Dairy Science
,3,,English|English Lit
,3,Rural Dev,Public Admn|English
,3,Agriculture & Cooperation,Botany|Management
,3,Industries,Tibetan|History
,3,Land Revenue Mgmt & District Admn,English|Pers.Mgt.
,3,Land Revenue Mgmt & District Admn,Sanskrit|Art
,3,Urban Development,Law|Management|Chemistry
,3,Industries,Law|Management|Chemistry
,3,Personnel and General Administration,Law|English|English Lit|Economics
,3,Personnel and General Administration,Chemistry|Russian
,3,Tourism,Dev Adm|History
,3,Finance,Dev Adm|History
,3,Agriculture & Cooperation,Finance|Physics
,3,N.Applicable,Business Law|Law|Physical Chem|Physics|Gandhian Studies
,3,Land Revenue Mgmt & District Admn,Botany|Bio Chemistry
,3,N.Applicable,Law|Management|Physics
,3,Land Revenue Mgmt & District Admn,Political Eco|Political Sc.|Economics
,3,Land Revenue Mgmt & District Admn,Public Admn|Law|Chemistry
,3,Personnel and General Administration,English|Housing and Environment
,3,Finance,Economics|Dev Adm|Law|Political Sc.
,3,N.Applicable,Zoology|Marine Biology|Business Admn.
,3,Industries,Rur Social Dev|Political Sc.|Labour Laws|Poverty Alleviation
,3,Textiles,Economics|Development Economics
,3,Transport,Development Economics|Law|Economics|Indl.economics
,3,Industries,Economics|Defence Studies
,3,Agriculture & Cooperation,Economics|Defence Studies
,3,,Banking Law
,3,Land Revenue Mgmt & District Admn,Journalism|Political Sc.
,3,Land Revenue Mgmt & District Admn,Environmental Science|Urban Dev|Agriculture
,3,Land Revenue Mgmt & District Admn,Advance Accountancy
,3,Energy,Sociology
,3,Environment & Forests,Sociology
,3,,Applied Geology|Science
,3,Land Revenue Mgmt & District Admn,Science|Political Sc.
,3,Personnel and General Administration,Development Economics|History
,3,Land Revenue Mgmt & District Admn,English Lit|Admn.Sc.&Dev Problem
,3,Land Revenue Mgmt & District Admn,Social Policy|History
,3,Information & Broadcasting,French|Botany
,3,Finance,Mech.engg.|Economics|Dev Studies
,3,Industries,Economics|Public Admn|Social Sciences
,3,Parliamentary Affairs,Commerce
,3,Communications & Information Technology,Public Policy|Electronics
,3,Industries,Economics|Development Economics
,3,Rural Dev,Economics|Development Economics
,3,Rural Dev,Zoology|Chemistry
,3,"Consumer Affairs, Food & PD",Cooperation|Agriculture
,3,Labour & Employment,Chemical Engg
,3,Land Revenue Mgmt & District Admn,Indus Relations|Chemical Engg|Business Admn.
,3,Land Revenue Mgmt & District Admn,Public Admn|Administrative Mgmt|History
,3,Home,Botany|Forestry
,3,"Consumer Affairs, Food & PD",Botany|Forestry
,3,Land Revenue Mgmt & District Admn,Zoology|Intrntl Finance
,3,Public Works,Botany
,3,Personnel and General Administration,German|French|English
,3,Land Revenue Mgmt & District Admn,Law|Computer Sc|Finance
,3,Personnel and General Administration,Mathematics|Physics|Russian
,3,Land Revenue Mgmt & District Admn,Mathematics|Physics|Russian
,3,Industries,Planning.|Physics|Physics (hons)
,3,Agriculture & Cooperation,Public Admn|Chemistry
,3,N.Applicable,Public Admn|Chemistry
,3,Agriculture & Cooperation,Zoology|Journalism|English
,3,Personnel and General Administration,Mathematics|Education|Physics
,3,Urban Development,Physics|Forestry
,3,Agriculture & Cooperation,Physics|Forestry
,3,Land Revenue Mgmt & District Admn,Intrnl Business|Commerce|Management
,3,Agriculture & Cooperation,Chemistry|Business Admn.
,3,Commerce,Sociology
,3,Personnel and General Administration,French|Public Admn|Management|Physics
,3,Urban Development,Aerospace Enginneering
,3,Land Revenue Mgmt & District Admn,Intrnl Business|History
,3,Home,Economics|Law|Mathematics
,3,Rural Dev,Public Admn|History
,3,Personnel and General Administration,Economics|Law|Mathematics
,3,Urban Development,Management|History
,3,Personnel and General Administration,Management|History
,3,Social Justice & Empowerment,Management|History
,3,Home,Zoology|Chemistry
,3,Energy,Science
,3,Rural Dev,Agriculture|Management
,3,Land Revenue Mgmt & District Admn,N.A.|Veterinary Sc.
,3,Land Revenue Mgmt & District Admn,Marathi
,3,Personnel and General Administration,Law|Civil Engg|Business Admn.
,3,Water Resources,Anthropology|Botany
,3,Land Revenue Mgmt & District Admn,Management|Chemistry
,3,Local Self Govt,Economics|Physics
,3,Social Justice & Empowerment,Social Pol&planning -uk|History
,3,Land Revenue Mgmt & District Admn,Social Pol&planning -uk|History
,3,Human Resource Dev,Rural Dev|Political Sc.
,3,Mines & Minerals,Commerce
,3,Law & Justice,N.A.|Law
,3,N.Applicable,Social Sciences|Commerce|Business Admn.
,3,Personnel and General Administration,Computer Tech|Physics
,3,Land Revenue Mgmt & District Admn,Web Pages Designing|English|History|Business Admn.
,3,N.Applicable,Web Pages Designing|English|History|Business Admn.
,3,Personnel and General Administration,Clinical Pathgy
,3,Service Commn,Commerce
,3,Land Revenue Mgmt & District Admn,Rur Social Dev|Social Sciences|Public Admn|N.A.|History
,3,Agriculture & Cooperation,Environmental Science|Biology
,3,Land Revenue Mgmt & District Admn,Public Policy & Mgmt|Chemical Engg
,3,Finance,Electrical Engg.|Finance
,3,Health & Family Welfare,Art
,3,Urban Development,Electrical Engg.|Finance
,3,Land Revenue Mgmt & District Admn,Botany|Marketing Mgt|Business Admn.
,3,Women & Child Dev,Economics|History
,3,N.Applicable,Indl.mgt|Civil Engg|Urban Planning
,3,Land Revenue Mgmt & District Admn,Economics|Public Admn|Econometrics
,3,Finance,Economics|Botany|Management|Public Admn|Law|Social Sciences
,3,Land Revenue Mgmt & District Admn,Economics|Botany|Management|Public Admn|Law|Social Sciences
,3,Land Revenue Mgmt & District Admn,Economics|Costing
,3,N.Applicable,Philosophy|Social Sciences|Public Admn|Political Sc.|Physics
,3,,Psychology|English Lit
,3,Land Revenue Mgmt & District Admn,English|Development Economics|Dev Studies|Chemistry
,3,Land Revenue Mgmt & District Admn,Public Admn|Mathematics
,3,Social Justice & Empowerment,Economics|Mathematics|Political Sc.|Intnl Relations
,3,"Consumer Affairs, Food & PD",Economics|Physics
,3,Staff Officers,Economics|Physics
,3,N.Applicable,Economics|Social Pol&planning -uk|Intnl Trade.
,3,Law & Justice,Agriculture
,3,Rural Dev,N.A.|Law
,3,Local Self Govt,Hindi
,3,Agriculture & Cooperation,Electrical Engg.|Finance
,3,Land Revenue Mgmt & District Admn,Dev Adm|Mathematics
,3,Local Self Govt,Botany
,3,Energy,Commerce|Political Sc.
,3,Agriculture & Cooperation,Cooperation|Botany|Forestry|Business Mgt
,3,Finance,Rural Dev|Law|English Lit|Business Admn.
,3,Finance,Cost Acct|Electrical Engg.|Finance
,3,Staff Officers,Geology
,3,Land Revenue Mgmt & District Admn,Economics|Commn.Engg|Electronics Engg
,3,Finance,Agri.Engg.
,3,Land Revenue Mgmt & District Admn,"Cooperation|Economics|Demography,"
,3,Agriculture & Cooperation,"Cooperation|Economics|Demography,"
,3,N.Applicable,Management|Political Sc.
,3,Land Revenue Mgmt & District Admn,Fishery Science|Science
,3,Land Revenue Mgmt & District Admn,Economics|Mathematics|Political Sc.
,3,Law & Justice,Law|Political Sc.
,3,Agriculture & Cooperation,Commerce|Finance
,3,N.Applicable,Commerce|Finance
,3,Land Revenue Mgmt & District Admn,Statistics|Rural Dev|Art
,3,N.Applicable,German|Economics|Political Sc.
,3,Finance,German|Economics|Political Sc.
,3,Land Revenue Mgmt & District Admn,Mech.engg.|Integ Rural Engy Tech.
,3,Land Revenue Mgmt & District Admn,Public Admn|Poltics|Physics|Business Admn.
,3,Labour & Employment,Law|Physics|Business Admn.
,3,Agriculture & Cooperation,Commerce|Political Sc.
,3,Transport,Economics|Management
,3,Urban Development,Mech.engg.|Public Policy|N.A.
,3,Rural Dev,Mech.engg.|Business Admn.
,3,Finance,Law|Accountancy|Cost Acct|Company Mgt.
,3,Human Resource Dev,Sociology
,3,Industries,Sociology|Physics
,3,Personnel and General Administration,Biology|Pharmacy
,3,Finance,Biology|Pharmacy
,3,Land Revenue Mgmt & District Admn,Biology|Pharmacy
,3,Labour & Employment,Political Sc.|Business Admn.
,3,Industries,Journalism|English|Dev Mgt
,3,Staff Officers,Botany|Business Admn.
,3,Law & Justice,Chemical Engg
,3,Personnel and General Administration,Economics|Civil Engg|Finance|Indl Engg.
,3,Tourism,Intnl Relations|History|Business Admn.
,3,Agriculture & Cooperation,Intnl Relations|History|Business Admn.
,3,Home,Public Management|Law|Management|Petroleum Engg
,3,Social Justice & Empowerment,English|Business Admn.
,3,Land Revenue Mgmt & District Admn,Public Management|Law|Management|Petroleum Engg
,3,Social Justice & Empowerment,Public Management|Law|Management|Petroleum Engg
,3,Urban Development,Economics|Electronics
,3,Land Revenue Mgmt & District Admn,N.A.|Electronics
,3,Industries,N.A.|Electronics
,3,Finance,Operation Research|Mathematics|Intrnl Deve Policy
,3,Industries,Rur Social Dev|Social Sciences|Public Admn|N.A.|History
,3,Industries,Economics|Marketing Mgt|Business Admn.
,3,Finance,Economics|Social Planning|Law
,3,Urban Development,N.A.|Food Technology
,3,Finance,Economics|Law|Political Sc.|Macro Eco Policy & Plg
,3,Agriculture & Cooperation,Business Admn.|Veterinary Sc.
,3,Industries,Zoology|Health Management|Rural Dev|Management
,3,Textiles,Zoology|Health Management|Rural Dev|Management
,3,Land Revenue Mgmt & District Admn,Zoology|Health Management|Rural Dev|Management
,3,Finance,Law|Psychology
,3,Rural Dev,Organic Chemistry|Chemistry
,3,Personnel and General Administration,English|Law|Hindi
,3,Land Revenue Mgmt & District Admn,English|Law|Hindi
,3,Land Revenue Mgmt & District Admn,French|Business Admn.|Economics
,3,Staff Officers,History|Arabic
,3,Human Resource Dev,English|Psychology
,3,Human Resource Dev,Public Admn|Civil Engg
,3,Finance,Civil Engg|Structural Engg
,3,Industries,Physics|Electrical Engg.|Electronics|Management
,3,Land Revenue Mgmt & District Admn,Sanskrit|Hindi
,3,Science & Technology,Mech.engg.|Management
,3,Urban Development,Mech.engg.|Management
,3,Land Revenue Mgmt & District Admn,Zoology|Bio Chemistry
,3,Protocol,Economics|Business Admn.
,3,Agriculture & Cooperation,Zoology|Dev Mgt|Development
,3,Land Revenue Mgmt & District Admn,Psychology|Social Policy
,3,Land Revenue Mgmt & District Admn,Economics|Agriculture|Business Admn.
,3,Industries,Economics|Agriculture|Business Admn.
,3,Land Revenue Mgmt & District Admn,Corporate Laws|Civil Engg
,3,N.Applicable,English|Management
,3,Environment & Forests,Public Admn|Political Sc.
,3,Industries,Economics|Law|Defence Studies|Political Eco
,3,N.Applicable,Economics|Law|Defence Studies|Political Eco
,3,Urban Development,Public Admn|Law|Political Sc.|Russian
,3,Human Resource Dev,Electronics and Communication|Electronics
,3,N.Applicable,Electronics|Business Admn.
,3,"Consumer Affairs, Food & PD",Electronics and Communication|Electronics
,3,Health & Family Welfare,Economics|Business Admn.
,3,Health & Family Welfare,Law|Botany|Business Mgt
,3,Rural Dev,Dev Adm|English Lit|History|Political Sc.
,3,Finance,Local Self Govt|Law|Hindi
,3,Commerce,Assamese
,3,Land Revenue Mgmt & District Admn,Nuclear Physics|Mathematics
,3,Land Revenue Mgmt & District Admn,Zoology|Eco Policy & Mgt
,3,Women & Child Dev,Commerce
,3,Land Revenue Mgmt & District Admn,Medicine|Medical Sciences
,3,Land Revenue Mgmt & District Admn,Botany|Wildlife Mgt
,3,Land Revenue Mgmt & District Admn,Economics|Law|Social Pol&planning -uk|Physics|Business Admn.
,3,,Electronics Engg
,3,Land Revenue Mgmt & District Admn,French|Environmental Science|Chemistry
,3,Land Revenue Mgmt & District Admn,Computer Sc|Business Admn.
,3,Energy,Public Admn|Political Sc.
,3,Land Revenue Mgmt & District Admn,Computer Sc|Marketing
,3,Industries,Science
,3,Land Revenue Mgmt & District Admn,Obstetrics
,3,Finance,Operation Research|Statistics|Mathematics
,3,Land Revenue Mgmt & District Admn,English|Marathi
,3,Personnel and General Administration,Environmental Science|Rural Dev|Physics|Gender Analysis
,3,Transport,Electrical Engg.|Business Admn.
,3,Finance,Public Admn|English|English Lit|Art
,3,Land Revenue Mgmt & District Admn,Public Admn|English|English Lit|Art
,3,Land Revenue Mgmt & District Admn,Intnl Studies|International Political Economy
,3,Land Revenue Mgmt & District Admn,English|Zoology|Law
,3,Transport,Financial Management|Commerce|Cost Acct
,3,Finance,Psychology|English Lit
,3,Land Revenue Mgmt & District Admn,Management&system|Electronics Engg
,3,Personnel and General Administration,Medicine|French|Intnl Trade.
,3,N.Applicable,Medicine|French|Intnl Trade.
,3,Urban Development,Economics|Business Mgt
,3,Personnel and General Administration,Economics|Business Mgt
,3,Land Revenue Mgmt & District Admn,French|Nautical Science|Finance|History
,3,Land Revenue Mgmt & District Admn,Microbiology|Botany|Animal Sciences
,3,Land Revenue Mgmt & District Admn,English|Sociology|English Lit
,3,Land Revenue Mgmt & District Admn,public affairs|Chemistry
,3,Finance,French|Nautical Science|Finance|History
,3,Social Justice & Empowerment,Economics|Political Sc.|N.A.|Physics|Business Admn.
,3,Personnel and General Administration,Indus Relations|Zoology
,3,Labour & Employment,Computer Sc|Business Admn.
,3,Urban Development,Psychology|Business Admn.
,3,Environment & Forests,Mech.engg.
,3,Finance,Public Policy|Yoga|Accountancy|Business Mgt
,3,Personnel and General Administration,Project Mgt|Chemistry
,3,Personnel and General Administration,Economics|Chemical Engg
,3,Land Revenue Mgmt & District Admn,Project Mgt|Chemistry
,3,Protocol,Mech.engg.|Indl Engg.
,3,,Mech.engg.|Indl Engg.
,3,N.Applicable,Civil Engg|Business Admn.
,3,Finance,Banking|Public Admn|Physics|Russian
,3,Social Justice & Empowerment,Law|Botany
,3,,History|Political Sc.
,3,Social Justice & Empowerment,Philosophy|Physics
,3,Human Resource Dev,Philosophy|Physics
,3,Local Self Govt,Mathematics|Business Admn.
,3,N.Applicable,English|Social Pol&planning -uk
,3,Social Justice & Empowerment,English|Social Pol&planning -uk
,3,Industries,Art|Political Sc.
,3,Land Revenue Mgmt & District Admn,Mech.engg.|Pers.Mgt.
,3,Planning & Prog Implementation,Accountancy|Commerce
,3,Urban Development,Urban Planning|Civil Engg|Urban Studies
,3,ST Welfare,Law|Political Sc.
,3,Protocol,Law|Political Sc.
,3,Agriculture & Cooperation,Computer Tech|Electrical Engg.
